日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,21°,9°,晴~多云,西南风2级,55 良
2024-05-02 周四,20°,10°,多云,东南风3级,63 良
2024-05-03 周五,16°,11°,阴~小雨,东南风2级,54 良
2024-05-04 周六,15°,9°,雾~多云,东南风1级,52 良
2024-05-05 周日,19°,11°,多云~晴,西北风3级,67 良
2024-05-06 周一,23°,12°,中雨~晴,北风1级,70 良
2024-05-07 周二,27°,12°,多云~晴,北风1级,67 良
2024-05-08 周三,24°,14°,多云,东南风3级,83 良
2024-05-09 周四,27°,14°,多云~晴,南风3级,78 良
2024-05-10 周五,28°,14°,多云~阴,西南风3级,58 良
2024-05-11 周六,27°,12°,阴~晴,西北风3级,97 良
2024-05-12 周日,25°,12°,晴,南风2级,106 轻度
2024-05-13 周一,28°,15°,晴,西南风2级,96 良
2024-05-14 周二,32°,14°,晴~小雨,西南风1级,93 良
2024-05-15 周三,23°,10°,晴,东南风2级,55 良
2024-05-16 周四,29°,16°,多云~晴,西南风2级,67 良
2024-05-17 周五,34°,18°,阴~晴,西北风2级,83 良
2024-05-18 周六,34°,18°,阴~多云,南风2级,89 良
2024-05-19 周日,31°,17°,阴~晴,东南风3级,66 良
2024-05-20 周一,27°,15°,阴~多云,东南风3级,61 良
2024-05-21 周二,29°,14°,多云~晴,东南风2级,66 良
2024-05-22 周三,29°,16°,晴,东南风3级,77 良
2024-05-23 周四,33°,17°,多云~晴,西南风1级,91 良
2024-05-24 周五,29°,17°,阴~多云,东南风4级,72 良
2024-05-25 周六,23°,15°,小雨,东南风3级,73 良
2024-05-26 周日,30°,16°,多云,东北风2级,74 良
2024-05-27 周一,26°,13°,多云~晴,南风2级,62 良
2024-05-28 周二,27°,16°,阴~多云,东南风3级,73 良
2024-05-29 周三,23°,15°,小雨~多云,南风2级,64 良
2024-05-30 周四,32°,16°,阴~多云,北风3级,52 良
2024-05-31 周五,31°,15°,阴~多云,东风1级,77 良
