日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,20°,13°,阴,西北风3级,24 优
2024-11-02 周六,24°,13°,雾~晴,东北风2级,38 优
2024-11-03 周日,26°,14°,晴,北风1级,41 优
2024-11-04 周一,26°,15°,阴~多云,东北风2级,41 优
2024-11-05 周二,23°,10°,阴~晴,东北风2级,54 良
2024-11-06 周三,22°,10°,晴~多云,东北风2级,41 优
2024-11-07 周四,22°,10°,晴,东北风2级,35 优
2024-11-08 周五,21°,14°,多云,东北风2级,39 优
2024-11-09 周六,26°,17°,多云~小雨,东北风2级,35 优
2024-11-10 周日,25°,15°,阴~多云,北风1级,44 优
2024-11-11 周一,27°,13°,晴~多云,东北风1级,38 优
2024-11-12 周二,26°,16°,多云,东北风1级,35 优
2024-11-13 周三,28°,18°,阴,东风2级,34 优
2024-11-14 周四,19°,18°,中雨~小雨,东北风1级,30 优
2024-11-15 周五,21°,17°,中雨~阴,东北风1级,19 优
2024-11-16 周六,28°,16°,雾~小雨,北风2级,19 优
2024-11-17 周日,20°,12°,阴~多云,东北风3级,20 优
2024-11-18 周一,18°,11°,阴~多云,东北风3级,21 优
2024-11-19 周二,17°,10°,阴,东北风2级,27 优
2024-11-20 周三,16°,11°,阴,西北风2级,28 优
2024-11-21 周四,16°,10°,阴,北风1级,25 优
2024-11-22 周五,17°,10°,多云,东北风2级,26 优
2024-11-23 周六,19°,12°,阴~小雨,东北风2级,44 优
2024-11-24 周日,16°,11°,阴~小雨,东北风1级,43 优
2024-11-25 周一,13°,6°,小雨,西北风2级,32 优
2024-11-26 周二,14°,5°,阴~晴,北风2级,38 优
2024-11-27 周三,15°,4°,雾~晴,西北风2级,48 优
2024-11-28 周四,16°,2°,晴,西风2级,58 良
2024-11-29 周五,16°,3°,晴,西南风1级,57 良
2024-11-30 周六,18°,5°,晴~多云,南风1级,49 优
