日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,13°,12°,小雨~多云,东北风1级,34 优
2024-11-02 周六,17°,11°,阴~多云,东北风1级,31 优
2024-11-03 周日,20°,14°,雾~小雨,南风2级,43 优
2024-11-04 周一,21°,13°,多云,东南风2级,38 优
2024-11-05 周二,16°,8°,阴,东南风2级,41 优
2024-11-06 周三,15°,12°,阴~小雨,东南风2级,48 优
2024-11-07 周四,14°,10°,小雨~中雨,东风1级,45 优
2024-11-08 周五,13°,10°,中雨~小雨,东南风1级,38 优
2024-11-09 周六,22°,8°,雾~晴,西南风2级,24 优
2024-11-10 周日,21°,13°,阴~多云,西南风2级,32 优
2024-11-11 周一,21°,15°,雾~多云,西南风3级,30 优
2024-11-12 周二,23°,11°,多云~晴,西南风4级,25 优
2024-11-13 周三,23°,11°,多云~晴,西南风4级,22 优
2024-11-14 周四,23°,7°,晴,西南风3级,26 优
2024-11-15 周五,23°,7°,晴,西南风3级,36 优
2024-11-16 周六,22°,9°,晴,西南风2级,40 优
2024-11-17 周日,21°,9°,雾~多云,南风2级,41 优
2024-11-18 周一,20°,9°,雾~多云,西南风3级,36 优
2024-11-19 周二,21°,11°,雾~多云,西南风3级,40 优
2024-11-20 周三,18°,12°,阴~小雨,东南风2级,44 优
2024-11-21 周四,16°,10°,小雨,南风2级,30 优
2024-11-22 周五,17°,9°,阴~小雨,南风2级,35 优
2024-11-23 周六,16°,10°,雾~多云,西南风3级,23 优
2024-11-24 周日,17°,7°,阴~阵雨,西南风4级,20 优
2024-11-25 周一,19°,6°,雾~小雨,西南风2级,26 优
2024-11-26 周二,10°,6°,阴~小雨,南风3级,27 优
2024-11-27 周三,5°,4°,小雨,东北风2级,29 优
2024-11-28 周四,6°,5°,雾~多云,东北风2级,32 优
2024-11-29 周五,12°,7°,多云,西南风3级,26 优
2024-11-30 周六,19°,5°,雾~晴,西南风3级,29 优
