日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,24°,13°,阴~晴,东北风3级,31 优
2024-09-02 周一,20°,15°,阴~多云,东南风2级,24 优
2024-09-03 周二,26°,17°,中雨,东南风2级,26 优
2024-09-04 周三,22°,14°,中雨~小雨,西风2级,32 优
2024-09-05 周四,22°,12°,多云,东北风3级,25 优
2024-09-06 周五,19°,15°,小雨~大雨,东南风2级,37 优
2024-09-07 周六,17°,15°,阴~小雨,东南风1级,22 优
2024-09-08 周日,24°,17°,阴~中雨,东南风3级,39 优
2024-09-09 周一,21°,13°,小雨,西北风2级,41 优
2024-09-10 周二,18°,13°,小雨,东风1级,24 优
2024-09-11 周三,16°,10°,小雨~晴,东风2级,29 优
2024-09-12 周四,26°,13°,阴~晴,东南风2级,41 优
2024-09-13 周五,24°,10°,阴~多云,西南风2级,32 优
2024-09-14 周六,18°,11°,阴~小雨,东北风2级,29 优
2024-09-15 周日,19°,14°,阴~晴,东南风2级,35 优
2024-09-16 周一,22°,14°,雾~多云,东北风1级,50 优
2024-09-17 周二,26°,14°,多云,东南风1级,60 良
2024-09-18 周三,27°,15°,雾~晴,东南风2级,50 优
2024-09-19 周四,27°,13°,雾~小雨,东南风2级,43 优
2024-09-20 周五,17°,6°,阴~雾,东北风3级,27 优
2024-09-21 周六,16°,3°,晴,东北风2级,26 优
2024-09-22 周日,18°,6°,晴,东风1级,43 优
2024-09-23 周一,23°,9°,雾~晴,西风1级,51 良
2024-09-24 周二,26°,9°,阴~晴,西南风3级,57 良
2024-09-25 周三,20°,7°,雾~晴,东北风1级,50 优
2024-09-26 周四,20°,11°,阴,东南风2级,63 良
2024-09-27 周五,21°,13°,雾~阴,东南风3级,61 良
2024-09-28 周六,22°,16°,雾~小雨,东南风3级,54 良
2024-09-29 周日,17°,6°,中雨~多云,西南风2级,34 优
2024-09-30 周一,15°,1°,阴~晴,西北风4级,28 优
