日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,11°,4°,阴~多云,西北风2级,65 良
2024-04-02 周二,17°,5°,多云~晴,西风1级,76 良
2024-04-03 周三,13°,0°,阴~晴,东北风4级,67 良
2024-04-04 周四,14°,1°,晴~多云,北风3级,73 良
2024-04-05 周五,17°,8°,阴~晴,西南风2级,105 轻度
2024-04-06 周六,23°,6°,晴,西南风3级,89 良
2024-04-07 周日,23°,7°,晴,西南风2级,97 良
2024-04-08 周一,13°,-2°,晴,北风3级,114 轻度
2024-04-09 周二,17°,7°,多云,北风2级,150 轻度
2024-04-10 周三,17°,8°,小雨,南风3级,109 轻度
2024-04-11 周四,16°,10°,阴~多云,东南风3级,54 良
2024-04-12 周五,20°,12°,阴~多云,南风3级,41 优
2024-04-13 周六,22°,12°,阴~多云,南风3级,31 优
2024-04-14 周日,24°,12°,阴~中雨,南风3级,31 优
2024-04-15 周一,14°,7°,中雨~多云,西南风1级,125 轻度
2024-04-16 周二,18°,6°,晴,西北风2级,171 中度
2024-04-17 周三,25°,10°,晴,西南风2级,93 良
2024-04-18 周四,22°,7°,阴~多云,西北风2级,71 良
2024-04-19 周五,19°,10°,阴~多云,东北风2级,64 良
2024-04-20 周六,20°,8°,小雨~多云,西南风2级,102 轻度
2024-04-21 周日,23°,11°,多云~晴,西风1级,117 轻度
2024-04-22 周一,22°,13°,晴~多云,南风3级,43 优
2024-04-23 周二,19°,10°,小雨~阵雨,东南风3级,39 优
2024-04-24 周三,19°,13°,阴~晴,西南风2级,31 优
2024-04-25 周四,20°,13°,多云~晴,南风3级,46 优
2024-04-26 周五,23°,13°,阴~多云,南风2级,51 良
2024-04-27 周六,20°,12°,多云~阵雨,北风2级,75 良
2024-04-28 周日,14°,8°,阴~多云,东北风3级,38 优
2024-04-29 周一,16°,4°,阴~多云,西北风3级,42 优
2024-04-30 周二,20°,7°,雾~晴,西北风2级,51 良
