日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,29°,23°,阴~多云,北风2级,29 优
2024-06-02 周日,33°,25°,多云~阵雨,东北风2级,31 优
2024-06-03 周一,26°,23°,大雨,东北风2级,24 优
2024-06-04 周二,25°,22°,阴~中雨,东北风3级,22 优
2024-06-05 周三,26°,22°,中雨~阵雨,东北风3级,20 优
2024-06-06 周四,30°,24°,阴~阵雨,东北风2级,28 优
2024-06-07 周五,30°,25°,雾~中雨,东南风2级,30 优
2024-06-08 周六,31°,25°,阴~暴雨,东南风2级,29 优
2024-06-09 周日,30°,25°,暴雨~阵雨,东南风2级,24 优
2024-06-10 周一,32°,25°,小雨~阵雨,西南风2级,24 优
2024-06-11 周二,32°,26°,大雨~多云,西南风2级,27 优
2024-06-12 周三,33°,26°,阴~阵雨,南风3级,27 优
2024-06-13 周四,32°,26°,阴~中雨,南风3级,31 优
2024-06-14 周五,26°,23°,暴雨,东南风1级,23 优
2024-06-15 周六,32°,25°,多云~中雨,西南风2级,31 优
2024-06-16 周日,32°,26°,中雨~阵雨,南风3级,34 优
2024-06-17 周一,30°,26°,中雨~大雨,南风3级,27 优
2024-06-18 周二,29°,25°,小雨~阵雨,东南风2级,23 优
2024-06-19 周三,31°,26°,中雨~阵雨,南风3级,30 优
2024-06-20 周四,31°,26°,中雨~多云,南风3级,30 优
2024-06-21 周五,33°,27°,阴~多云,东南风3级,34 优
2024-06-22 周六,35°,27°,阵雨~多云,南风3级,25 优
2024-06-23 周日,34°,26°,阴~多云,东南风2级,22 优
2024-06-24 周一,32°,25°,阴~阵雨,东南风3级,20 优
2024-06-25 周二,31°,24°,小雨~阵雨,东南风3级,14 优
2024-06-26 周三,32°,25°,暴雨~阴,东南风1级,18 优
2024-06-27 周四,32°,25°,小雨~多云,南风3级,21 优
2024-06-28 周五,31°,26°,阴~多云,南风4级,29 优
2024-06-29 周六,31°,26°,阴~阵雨,南风4级,20 优
2024-06-30 周日,29°,25°,小雨~中雨,东南风3级,22 优
