日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,22°,17°,阴~多云,西北风4级,21 优
2024-10-02 周三,23°,16°,阴~晴,北风4级,32 优
2024-10-03 周四,23°,14°,阴~晴,东北风3级,31 优
2024-10-04 周五,24°,18°,阴~小雨,东北风2级,31 优
2024-10-05 周六,19°,18°,小雨,北风2级,27 优
2024-10-06 周日,20°,19°,小雨,北风2级,19 优
2024-10-07 周一,19°,16°,小雨,北风2级,23 优
2024-10-08 周二,22°,14°,多云~晴,北风2级,36 优
2024-10-09 周三,23°,13°,阴~晴,东北风1级,44 优
2024-10-10 周四,25°,15°,多云~晴,北风1级,57 良
2024-10-11 周五,26°,15°,多云,东风2级,79 良
2024-10-12 周六,26°,18°,多云~晴,东风3级,63 良
2024-10-13 周日,27°,20°,小雨~多云,东风2级,36 优
2024-10-14 周一,27°,20°,多云,北风2级,53 良
2024-10-15 周二,21°,20°,中雨,北风2级,47 优
2024-10-16 周三,21°,19°,中雨~小雨,东北风2级,38 优
2024-10-17 周四,26°,21°,小雨~阴,东风2级,41 优
2024-10-18 周五,30°,18°,多云~小雨,西南风2级,37 优
2024-10-19 周六,21°,13°,小雨~阴,北风3级,22 优
2024-10-20 周日,20°,14°,阴~多云,北风2级,44 优
2024-10-21 周一,24°,17°,多云,东北风1级,50 优
2024-10-22 周二,21°,13°,多云~晴,西北风3级,34 优
2024-10-23 周三,20°,12°,多云~晴,北风3级,50 优
2024-10-24 周四,20°,14°,阴~晴,东北风2级,40 优
2024-10-25 周五,21°,18°,阴~小雨,北风2级,41 优
2024-10-26 周六,21°,18°,中雨~小雨,西北风3级,18 优
2024-10-27 周日,20°,15°,小雨,西北风3级,17 优
2024-10-28 周一,19°,13°,多云,北风3级,53 良
2024-10-29 周二,20°,12°,多云~阴,东北风2级,52 良
2024-10-30 周三,19°,16°,多云~小雨,北风2级,46 优
2024-10-31 周四,19°,16°,小雨~大雨,北风2级,35 优
