日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,26°,14°,多云~小雨,东南风2级,27 优
2024-08-02 周五,24°,14°,阴,东南风2级,23 优
2024-08-03 周六,22°,14°,小雨,东南风1级,15 优
2024-08-04 周日,22°,14°,多云~阵雨,东南风1级,12 优
2024-08-05 周一,22°,14°,小雨~阵雨,东南风1级,13 优
2024-08-06 周二,22°,14°,阴,东南风2级,14 优
2024-08-07 周三,25°,14°,小雨~阴,东南风2级,14 优
2024-08-08 周四,22°,14°,阴~小雨,东南风2级,13 优
2024-08-09 周五,21°,13°,中雨~小雨,东南风2级,13 优
2024-08-10 周六,24°,13°,阴,东风1级,14 优
2024-08-11 周日,24°,14°,阴~多云,东南风1级,21 优
2024-08-12 周一,28°,14°,多云~阴,东南风1级,17 优
2024-08-13 周二,28°,13°,阴~多云,东南风2级,20 优
2024-08-14 周三,24°,13°,阴~中雨,东南风1级,18 优
2024-08-15 周四,19°,10°,小雨~多云,北风1级,12 优
2024-08-16 周五,23°,9°,多云,东南风1级,17 优
2024-08-17 周六,22°,10°,阴~多云,东南风1级,19 优
2024-08-18 周日,25°,11°,阴~多云,东南风1级,24 优
2024-08-19 周一,26°,10°,多云~阴,东南风1级,21 优
2024-08-20 周二,24°,13°,阴,东南风2级,20 优
2024-08-21 周三,23°,12°,阴~阵雨,东南风2级,13 优
2024-08-22 周四,25°,13°,阴,东南风2级,12 优
2024-08-23 周五,26°,12°,多云,东南风2级,14 优
2024-08-24 周六,25°,12°,阴~多云,东南风2级,18 优
2024-08-25 周日,28°,12°,多云,东南风1级,24 优
2024-08-26 周一,26°,12°,多云,东南风2级,20 优
2024-08-27 周二,26°,12°,多云,东南风1级,20 优
2024-08-28 周三,24°,12°,阴~多云,东南风1级,21 优
2024-08-29 周四,27°,13°,阴,东南风2级,20 优
2024-08-30 周五,30°,13°,多云,东南风1级,21 优
2024-08-31 周六,22°,15°,阴,东南风2级,20 优
