日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,22°,12°,雾~晴,东北风3级,63 良
2024-11-02 周六,23°,10°,多云~晴,东南风1级,67 良
2024-11-03 周日,23°,7°,雾~多云,西南风2级,92 良
2024-11-04 周一,18°,4°,多云~晴,东北风3级,63 良
2024-11-05 周二,16°,4°,晴,西北风2级,43 优
2024-11-06 周三,17°,4°,晴,东南风2级,61 良
2024-11-07 周四,17°,7°,晴,东南风3级,50 优
2024-11-08 周五,18°,10°,阴~晴,东南风3级,46 优
2024-11-09 周六,17°,12°,阴,东南风3级,42 优
2024-11-10 周日,20°,13°,雾~阴,东南风1级,59 良
2024-11-11 周一,21°,13°,雾~晴,西南风1级,71 良
2024-11-12 周二,21°,15°,多云~小雨,东南风2级,94 良
2024-11-13 周三,18°,14°,多云~小雨,东南风3级,99 良
2024-11-14 周四,18°,13°,雾~多云,东北风1级,66 良
2024-11-15 周五,21°,15°,雾~小雨,东风2级,56 良
2024-11-16 周六,17°,9°,小雨,北风3级,68 良
2024-11-17 周日,15°,5°,阴~多云,东北风3级,49 优
2024-11-18 周一,11°,7°,阴~多云,东北风3级,45 优
2024-11-19 周二,12°,6°,多云~阴,东南风2级,49 优
2024-11-20 周三,12°,4°,多云,西南风2级,53 良
2024-11-21 周四,16°,6°,多云,西北风2级,75 良
2024-11-22 周五,15°,4°,多云~晴,东风3级,72 良
2024-11-23 周六,13°,4°,多云,东风3级,41 优
2024-11-24 周日,14°,8°,雾~小雨,东南风3级,56 良
2024-11-25 周一,9°,0°,中雨~晴,西北风3级,33 优
2024-11-26 周二,7°,-1°,晴,西北风3级,47 优
2024-11-27 周三,6°,0°,晴,西北风4级,54 良
2024-11-28 周四,9°,-1°,晴,西北风4级,57 良
2024-11-29 周五,14°,3°,晴,西北风2级,56 良
2024-11-30 周六,16°,3°,多云,南风2级,66 良
