日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,29°,23°,阴~多云,北风2级,28 优
2024-06-02 周日,30°,24°,阴~小雨,东北风1级,32 优
2024-06-03 周一,24°,22°,大雨,东北风2级,30 优
2024-06-04 周二,26°,21°,大雨~中雨,北风2级,23 优
2024-06-05 周三,27°,22°,阴~阵雨,北风2级,18 优
2024-06-06 周四,29°,24°,多云~阵雨,东北风2级,25 优
2024-06-07 周五,30°,24°,阴~阵雨,东北风1级,30 优
2024-06-08 周六,31°,25°,中雨,东北风1级,30 优
2024-06-09 周日,26°,24°,大雨,东风1级,18 优
2024-06-10 周一,30°,25°,中雨~阵雨,西南风2级,25 优
2024-06-11 周二,30°,25°,雾~阵雨,南风2级,23 优
2024-06-12 周三,31°,26°,阴~小雨,南风2级,24 优
2024-06-13 周四,30°,25°,阴~大雨,南风3级,30 优
2024-06-14 周五,25°,24°,大雨~暴雨,东南风2级,21 优
2024-06-15 周六,30°,25°,雾~中雨,东南风2级,37 优
2024-06-16 周日,31°,26°,中雨,南风3级,33 优
2024-06-17 周一,28°,25°,中雨~大雨,东南风1级,25 优
2024-06-18 周二,30°,25°,大雨~中雨,东南风2级,35 优
2024-06-19 周三,29°,26°,中雨~阵雨,南风3级,29 优
2024-06-20 周四,31°,27°,中雨~多云,南风3级,28 优
2024-06-21 周五,32°,27°,阴~多云,南风4级,24 优
2024-06-22 周六,36°,28°,多云,南风3级,22 优
2024-06-23 周日,33°,28°,阴~多云,南风2级,23 优
2024-06-24 周一,32°,26°,小雨~阵雨,东风1级,20 优
2024-06-25 周二,31°,25°,阵雨,东北风1级,18 优
2024-06-26 周三,30°,25°,小雨~阵雨,东南风1级,18 优
2024-06-27 周四,31°,26°,阴~多云,南风3级,19 优
2024-06-28 周五,29°,26°,多云,南风4级,19 优
2024-06-29 周六,29°,27°,阴~大雨,南风3级,19 优
2024-06-30 周日,26°,25°,小雨~大雨,东南风2级,23 优
