日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,13°,7°,阴~晴,北风2级,-
2023-12-02 周六,12°,8°,阴~小雨,西北风1级,-
2023-12-03 周日,11°,9°,阴~小雨,北风1级,-
2023-12-04 周一,16°,7°,多云~晴,西南风1级,-
2023-12-05 周二,17°,9°,晴~阴,东南风1级,-
2023-12-06 周三,21°,5°,多云~晴,西北风2级,-
2023-12-07 周四,22°,11°,多云~晴,南风2级,-
2023-12-08 周五,21°,14°,多云~小雨,东南风2级,-
2023-12-09 周六,19°,15°,阴~小雨,东南风2级,-
2023-12-10 周日,21°,9°,多云~小雨,北风2级,-
2023-12-11 周一,8°,4°,小雨,西北风3级,-
2023-12-12 周二,8°,6°,阴~多云,北风2级,-
2023-12-13 周三,16°,13°,多云,东南风2级,-
2023-12-14 周四,19°,5°,多云~小雨,南风1级,-
2023-12-15 周五,5°,2°,小雨,西北风4级,-
2023-12-16 周六,4°,2°,阴,北风3级,-
2023-12-17 周日,4°,2°,阴~雨夹雪,东北风2级,-
2023-12-18 周一,3°,0°,小雨,西北风2级,-
2023-12-19 周二,3°,0°,阴~晴,西北风2级,-
2023-12-20 周三,5°,0°,阴~晴,北风2级,-
2023-12-21 周四,7°,-2°,阴~晴,北风3级,-
2023-12-22 周五,6°,-1°,晴,北风2级,-
2023-12-23 周六,8°,0°,晴,西北风1级,-
2023-12-24 周日,12°,0°,晴,北风2级,-
2023-12-25 周一,15°,1°,阴~多云,东风1级,-
2023-12-26 周二,17°,6°,多云~晴,东南风2级,-
2023-12-27 周三,18°,4°,晴,北风2级,-
2023-12-28 周四,17°,7°,多云~晴,北风1级,-
2023-12-29 周五,17°,5°,多云~小雨,西北风2级,-
2023-12-30 周六,16°,8°,多云~晴,西南风1级,-
2023-12-31 周日,19°,6°,晴~小雨,北风2级,189 中度
