日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,16°,9°,小雨,东北风2级,116 轻度
2024-01-02 周二,15°,9°,小雨,东北风1级,43 优
2024-01-03 周三,17°,9°,小雨,东北风3级,42 优
2024-01-04 周四,15°,10°,小雨,北风1级,54 良
2024-01-05 周五,16°,11°,小雨~中雨,西北风1级,79 良
2024-01-06 周六,14°,7°,中雨~阴,东北风2级,98 良
2024-01-07 周日,14°,8°,阴~中雨,东北风2级,74 良
2024-01-08 周一,11°,10°,中雨~小雨,东北风2级,25 优
2024-01-09 周二,14°,12°,阴~多云,东北风1级,43 优
2024-01-10 周三,18°,12°,阴~小雨,东北风3级,78 良
2024-01-11 周四,14°,12°,小雨~阴,东北风1级,83 良
2024-01-12 周五,15°,13°,小雨,东南风1级,104 轻度
2024-01-13 周六,15°,14°,中雨~小雨,东南风1级,94 良
2024-01-14 周日,20°,14°,雾~阴,东南风1级,91 良
2024-01-15 周一,19°,12°,多云,东北风2级,97 良
2024-01-16 周二,21°,13°,多云,东南风1级,156 中度
2024-01-17 周三,21°,15°,多云,东南风1级,123 轻度
2024-01-18 周四,15°,9°,多云~小雨,西南风1级,101 轻度
2024-01-19 周五,10°,6°,阴~中雨,东北风2级,27 优
2024-01-20 周六,8°,4°,小雨~阴,东北风3级,17 优
2024-01-21 周日,7°,2°,阴~雨夹雪,东北风3级,29 优
2024-01-22 周一,2°,0°,暴雪~阴,东北风3级,28 优
2024-01-23 周二,4°,-1°,阴~多云,东北风4级,51 良
2024-01-24 周三,2°,1°,阴~多云,东北风3级,44 优
2024-01-25 周四,8°,4°,阴,东北风2级,42 优
2024-01-26 周五,7°,5°,小雨,东北风2级,52 良
2024-01-27 周六,8°,6°,阴~小雨,东北风2级,52 良
2024-01-28 周日,7°,6°,小雨,东北风2级,68 良
2024-01-29 周一,7°,6°,中雨~小雨,东北风1级,50 优
2024-01-30 周二,11°,6°,小雨,北风1级,35 优
2024-01-31 周三,16°,8°,小雨,西北风1级,46 优
