日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,23°,19°,阴~阵雨,东北风2级,20 优
2024-05-02 周四,21°,20°,阴~阵雨,东北风2级,21 优
2024-05-03 周五,23°,22°,小雨~阵雨,东北风1级,27 优
2024-05-04 周六,28°,22°,雾~中雨,西南风2级,35 优
2024-05-05 周日,29°,22°,阴~多云,东南风1级,33 优
2024-05-06 周一,30°,21°,阴~中雨,东北风1级,31 优
2024-05-07 周二,29°,23°,雾~阵雨,西风1级,35 优
2024-05-08 周三,28°,22°,小雨~阵雨,东北风2级,36 优
2024-05-09 周四,25°,21°,小雨~阵雨,东北风2级,35 优
2024-05-10 周五,27°,23°,雾~多云,东南风2级,50 优
2024-05-11 周六,30°,23°,小雨~中雨,东南风1级,45 优
2024-05-12 周日,27°,22°,大雨~多云,西北风1级,36 优
2024-05-13 周一,30°,22°,阴~多云,东北风2级,52 良
2024-05-14 周二,31°,22°,晴~多云,东风1级,59 良
2024-05-15 周三,30°,21°,阴~多云,东北风1级,71 良
2024-05-16 周四,32°,22°,阴~多云,东北风1级,68 良
2024-05-17 周五,27°,22°,阴~阵雨,东南风1级,56 良
2024-05-18 周六,23°,21°,小雨~大雨,东北风2级,44 优
2024-05-19 周日,24°,20°,暴雨~大雨,东北风2级,25 优
2024-05-20 周一,24°,21°,小雨~多云,东北风2级,20 优
2024-05-21 周二,26°,22°,小雨~阵雨,东风1级,18 优
2024-05-22 周三,31°,23°,雾~阵雨,北风1级,30 优
2024-05-23 周四,31°,24°,小雨~多云,东风微风,39 优
2024-05-24 周五,33°,24°,雾~多云,东南风1级,38 优
2024-05-25 周六,32°,24°,大雨~阵雨,南风1级,33 优
2024-05-26 周日,28°,24°,小雨~中雨,东南风1级,26 优
2024-05-27 周一,27°,24°,小雨~大雨,西南风1级,32 优
2024-05-28 周二,30°,24°,雾~阴,东北风2级,22 优
2024-05-29 周三,29°,24°,阴,东南风3级,32 优
2024-05-30 周四,31°,25°,阴~阵雨,东南风2级,40 优
2024-05-31 周五,29°,25°,小雨~中雨,东北风3级,26 优
