日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,22°,15°,阴~小雨,西南风1级,29 优
2024-11-02 周六,16°,14°,小雨~多云,东南风2级,43 优
2024-11-03 周日,20°,12°,阴~小雨,南风1级,42 优
2024-11-04 周一,14°,11°,中雨~多云,东南风1级,42 优
2024-11-05 周二,17°,10°,雾~阴,东南风1级,41 优
2024-11-06 周三,15°,14°,小雨~中雨,东南风2级,61 良
2024-11-07 周四,14°,11°,中雨,东北风1级,29 优
2024-11-08 周五,14°,9°,中雨~阵雨,东南风1级,17 优
2024-11-09 周六,20°,10°,多云~晴,西南风1级,24 优
2024-11-10 周日,21°,12°,雾~小雨,西南风1级,32 优
2024-11-11 周一,21°,12°,多云~晴,西南风2级,28 优
2024-11-12 周二,23°,10°,晴,西南风2级,23 优
2024-11-13 周三,21°,8°,晴,西南风2级,23 优
2024-11-14 周四,22°,6°,晴,西南风2级,26 优
2024-11-15 周五,21°,6°,晴,西南风2级,24 优
2024-11-16 周六,22°,7°,晴,西南风1级,30 优
2024-11-17 周日,20°,6°,雾~晴,南风2级,35 优
2024-11-18 周一,19°,8°,晴,西南风2级,33 优
2024-11-19 周二,20°,10°,阴~晴,西南风2级,29 优
2024-11-20 周三,19°,11°,雾~多云,西南风2级,32 优
2024-11-21 周四,16°,9°,阴~多云,西南风2级,31 优
2024-11-22 周五,18°,9°,小雨~阵雨,南风2级,25 优
2024-11-23 周六,15°,10°,阴~多云,西南风2级,26 优
2024-11-24 周日,17°,9°,阴~晴,西南风2级,23 优
2024-11-25 周一,18°,9°,雾~阴,西南风2级,38 优
2024-11-26 周二,19°,11°,多云~阴,西南风3级,31 优
2024-11-27 周三,17°,12°,阴~小雨,西南风2级,30 优
2024-11-28 周四,13°,10°,阴~多云,东南风2级,29 优
2024-11-29 周五,15°,8°,阵雨~多云,南风2级,11 优
2024-11-30 周六,17°,4°,多云~晴,西南风2级,17 优
