日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,1°,-13°,多云~晴,西南风1级,-
2023-12-02 周六,5°,-8°,阴~多云,西北风2级,-
2023-12-03 周日,6°,-7°,多云~晴,西南风2级,-
2023-12-04 周一,10°,-3°,阴~晴,西南风2级,-
2023-12-05 周二,9°,-6°,阴~晴,西北风4级,-
2023-12-06 周三,10°,-6°,晴,西南风3级,-
2023-12-07 周四,16°,0°,多云~晴,西南风3级,-
2023-12-08 周五,14°,-3°,多云~晴,西北风3级,-
2023-12-09 周六,13°,0°,阴~晴,东北风3级,-
2023-12-10 周日,3°,-2°,大雪~雨夹雪,东南风3级,-
2023-12-11 周一,0°,-7°,中雪~晴,西北风3级,-
2023-12-12 周二,1°,0°,雾~雨夹雪,东南风4级,-
2023-12-13 周三,0°,-2°,雾~小雪,东南风4级,-
2023-12-14 周四,-1°,-18°,中雪~阴,西北风1级,-
2023-12-15 周五,-10°,-19°,阴~晴,西北风5级,-
2023-12-16 周六,-11°,-19°,多云,西北风3级,-
2023-12-17 周日,-10°,-12°,多云~阴,东南风3级,-
2023-12-18 周一,-3°,-19°,多云~晴,南风1级,-
2023-12-19 周二,-11°,-21°,多云~晴,北风3级,-
2023-12-20 周三,-12°,-25°,阴~晴,西北风3级,-
2023-12-21 周四,-13°,-22°,晴~阴,西北风2级,-
2023-12-22 周五,-9°,-20°,多云~晴,东南风2级,-
2023-12-23 周六,-8°,-22°,多云~晴,西北风3级,-
2023-12-24 周日,-4°,-14°,多云~晴,南风2级,-
2023-12-25 周一,1°,-12°,晴,东南风2级,-
2023-12-26 周二,1°,-12°,多云~晴,西北风2级,-
2023-12-27 周三,1°,-13°,晴,东南风1级,-
2023-12-28 周四,2°,-10°,多云,东北风1级,-
2023-12-29 周五,1°,-6°,多云~晴,南风1级,-
2023-12-30 周六,1°,-12°,晴,西北风4级,-
2023-12-31 周日,1°,-12°,晴~阴,东南风1级,55 良
