日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,29°,17°,阴~小雨,西北风3级,37 优
2024-08-02 周五,24°,16°,小雨~晴,西风1级,30 优
2024-08-03 周六,31°,16°,阴~晴,东北风2级,34 优
2024-08-04 周日,33°,18°,阴~晴,东北风2级,35 优
2024-08-05 周一,34°,19°,多云~小雨,东北风2级,41 优
2024-08-06 周二,22°,15°,小雨~多云,东南风1级,60 良
2024-08-07 周三,31°,18°,阴,东风2级,35 优
2024-08-08 周四,24°,16°,小雨~多云,西北风3级,105 轻度
2024-08-09 周五,27°,14°,阴~晴,西北风4级,67 良
2024-08-10 周六,31°,14°,晴,西北风3级,40 优
2024-08-11 周日,32°,16°,晴,东北风2级,38 优
2024-08-12 周一,33°,17°,多云~阴,东风2级,43 优
2024-08-13 周二,28°,15°,阴~中雨,西北风2级,43 优
2024-08-14 周三,29°,16°,阴~小雨,东北风2级,32 优
2024-08-15 周四,28°,16°,多云,东北风1级,35 优
2024-08-16 周五,25°,14°,阴~晴,东风2级,33 优
2024-08-17 周六,29°,14°,晴,北风2级,37 优
2024-08-18 周日,31°,15°,晴,东北风2级,41 优
2024-08-19 周一,31°,15°,晴,东北风2级,36 优
2024-08-20 周二,29°,16°,晴,东北风2级,43 优
2024-08-21 周三,31°,18°,晴,东北风2级,37 优
2024-08-22 周四,32°,18°,阴~晴,东北风2级,46 优
2024-08-23 周五,34°,20°,多云~阵雨,东南风3级,44 优
2024-08-24 周六,29°,17°,阴~大雨,东北风2级,49 优
2024-08-25 周日,25°,18°,阴~多云,北风4级,78 良
2024-08-26 周一,26°,16°,多云~晴,东风3级,109 轻度
2024-08-27 周二,27°,17°,晴~多云,西北风2级,40 优
2024-08-28 周三,30°,19°,阴~多云,东北风2级,46 优
2024-08-29 周四,31°,21°,多云~晴,东北风2级,46 优
2024-08-30 周五,33°,21°,阴~扬沙,西北风3级,69 良
2024-08-31 周六,24°,16°,阴~小雨,东北风3级,164 中度
