日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,11°,1°,多云~晴,东北风2级,114 轻度
2024-01-02 周二,8°,1°,小雨~多云,西北风2级,111 轻度
2024-01-03 周三,13°,1°,多云,西南风1级,64 良
2024-01-04 周四,15°,3°,晴~多云,东南风2级,65 良
2024-01-05 周五,10°,6°,小雨~阴,北风1级,81 良
2024-01-06 周六,12°,0°,阴~多云,东北风2级,98 良
2024-01-07 周日,8°,0°,阴~晴,东北风3级,157 中度
2024-01-08 周一,11°,1°,多云~晴,东风1级,164 中度
2024-01-09 周二,13°,0°,多云~晴,西北风1级,134 轻度
2024-01-10 周三,12°,0°,多云~晴,东北风2级,122 轻度
2024-01-11 周四,16°,4°,多云~晴,西南风2级,130 轻度
2024-01-12 周五,18°,3°,多云~晴,东南风1级,130 轻度
2024-01-13 周六,20°,7°,多云,东南风2级,107 轻度
2024-01-14 周日,14°,6°,多云~阴,东北风3级,194 中度
2024-01-15 周一,7°,5°,多云~阴,东北风3级,143 轻度
2024-01-16 周二,6°,3°,小雨~中雨,东北风3级,54 良
2024-01-17 周三,4°,3°,小雨~中雨,西北风2级,31 优
2024-01-18 周四,5°,4°,小雨,东北风3级,41 优
2024-01-19 周五,4°,1°,雨夹雪,北风3级,24 优
2024-01-20 周六,3°,0°,雾~多云,北风3级,55 良
2024-01-21 周日,5°,-1°,雾~小雪,东北风4级,84 良
2024-01-22 周一,0°,-6°,阴~晴,东北风4级,44 优
2024-01-23 周二,2°,-5°,晴,东北风3级,27 优
2024-01-24 周三,4°,-2°,多云~晴,北风2级,42 优
2024-01-25 周四,8°,0°,雾~多云,西北风1级,71 良
2024-01-26 周五,7°,0°,雾~晴,北风1级,81 良
2024-01-27 周六,11°,-3°,多云~晴,北风2级,103 轻度
2024-01-28 周日,13°,0°,雾~多云,东风2级,84 良
2024-01-29 周一,13°,3°,多云~阴,东南风2级,98 良
2024-01-30 周二,11°,8°,小雨,东风1级,117 轻度
2024-01-31 周三,9°,7°,中雨~小雨,东北风2级,106 轻度
