日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,23°,16°,阴,东北风1级,44 优
2024-06-02 周日,17°,15°,小雨~阵雨,东北风2级,38 优
2024-06-03 周一,18°,14°,小雨~阵雨,东北风2级,25 优
2024-06-04 周二,18°,15°,阴,北风2级,22 优
2024-06-05 周三,21°,16°,小雨~多云,西南风1级,29 优
2024-06-06 周四,26°,16°,小雨~大雨,东南风3级,43 优
2024-06-07 周五,17°,15°,暴雨~中雨,东北风2级,23 优
2024-06-08 周六,19°,16°,小雨,东北风2级,28 优
2024-06-09 周日,19°,16°,中雨~阵雨,东北风1级,24 优
2024-06-10 周一,24°,17°,阴~阵雨,东北风1级,23 优
2024-06-11 周二,19°,16°,小雨~阵雨,东北风2级,25 优
2024-06-12 周三,27°,17°,阴~多云,西北风2级,28 优
2024-06-13 周四,25°,17°,阴,北风2级,33 优
2024-06-14 周五,26°,16°,阴~多云,西北风3级,38 优
2024-06-15 周六,29°,18°,多云,东风1级,42 优
2024-06-16 周日,29°,19°,阵雨~暴雨,东南风2级,48 优
2024-06-17 周一,24°,16°,小雨~阴,西北风3级,31 优
2024-06-18 周二,23°,17°,阴~雷阵雨,东北风1级,31 优
2024-06-19 周三,24°,19°,小雨~雷阵雨,东北风1级,36 优
2024-06-20 周四,29°,19°,小雨~阴,东南风2级,30 优
2024-06-21 周五,25°,18°,阴~阵雨,北风2级,31 优
2024-06-22 周六,24°,17°,阵雨~中雨,西北风2级,28 优
2024-06-23 周日,21°,17°,小雨,北风2级,27 优
2024-06-24 周一,20°,16°,小雨~阴,西北风2级,27 优
2024-06-25 周二,21°,16°,阴,东北风1级,26 优
2024-06-26 周三,22°,18°,阴,东南风1级,38 优
2024-06-27 周四,27°,19°,雾~阵雨,东南风2级,28 优
2024-06-28 周五,24°,18°,小雨~中雨,东北风1级,20 优
2024-06-29 周六,25°,18°,小雨~阵雨,北风1级,21 优
2024-06-30 周日,26°,19°,中雨~阵雨,东南风1级,37 优
