日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,24°,22°,小雨~多云,东风3级,26 优
2024-04-02 周二,27°,23°,雾~多云,东南风3级,39 优
2024-04-03 周三,31°,24°,多云~阴,西南风4级,24 优
2024-04-04 周四,29°,23°,雾~多云,南风3级,43 优
2024-04-05 周五,25°,20°,阴~阵雨,东风3级,33 优
2024-04-06 周六,20°,19°,中雨,东风3级,26 优
2024-04-07 周日,21°,19°,小雨~中雨,东北风3级,22 优
2024-04-08 周一,25°,20°,多云~阵雨,东南风1级,40 优
2024-04-09 周二,22°,19°,阴~多云,东北风5级,24 优
2024-04-10 周三,25°,20°,阴~多云,东风3级,45 优
2024-04-11 周四,26°,21°,阴~多云,东风3级,43 优
2024-04-12 周五,29°,22°,雾~多云,南风2级,51 良
2024-04-13 周六,29°,24°,多云,南风3级,48 优
2024-04-14 周日,29°,23°,多云,南风2级,33 优
2024-04-15 周一,33°,24°,雾~多云,西南风3级,39 优
2024-04-16 周二,33°,25°,多云,西南风3级,39 优
2024-04-17 周三,33°,25°,阴~阵雨,西南风4级,27 优
2024-04-18 周四,30°,22°,中雨~雷阵雨,东风2级,33 优
2024-04-19 周五,24°,22°,阴~多云,东风4级,46 优
2024-04-20 周六,30°,23°,小雨~中雨,西南风3级,50 优
2024-04-21 周日,29°,23°,中雨~大雨,南风3级,29 优
2024-04-22 周一,29°,22°,小雨~大雨,西南风2级,35 优
2024-04-23 周二,26°,24°,暴雨~中雨,西南风3级,26 优
2024-04-24 周三,28°,22°,雾~阵雨,东风3级,38 优
2024-04-25 周四,22°,21°,大雨,东风2级,33 优
2024-04-26 周五,24°,22°,中雨,东南风1级,36 优
2024-04-27 周六,27°,23°,暴雨~中雨,东风2级,26 优
2024-04-28 周日,25°,24°,小雨~阵雨,东南风2级,40 优
2024-04-29 周一,29°,25°,多云~阵雨,西南风3级,38 优
2024-04-30 周二,30°,22°,大雨,西南风4级,25 优
