日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,32°,23°,多云,北风4级,27 优
2024-10-02 周三,26°,22°,阴~多云,西北风4级,25 优
2024-10-03 周四,28°,22°,阴~多云,北风3级,30 优
2024-10-04 周五,30°,23°,阴~多云,东北风2级,29 优
2024-10-05 周六,30°,24°,阴~多云,东北风2级,27 优
2024-10-06 周日,32°,25°,多云~阵雨,东风1级,44 优
2024-10-07 周一,33°,25°,阴~晴,东北风1级,38 优
2024-10-08 周二,27°,24°,多云,东北风3级,38 优
2024-10-09 周三,27°,23°,阴~晴,东北风2级,31 优
2024-10-10 周四,29°,23°,多云~晴,东风2级,35 优
2024-10-11 周五,29°,21°,阴~晴,东风3级,53 良
2024-10-12 周六,30°,23°,多云~晴,东风3级,53 良
2024-10-13 周日,30°,24°,多云~晴,东风3级,35 优
2024-10-14 周一,32°,24°,多云,东南风3级,33 优
2024-10-15 周二,31°,24°,阴~多云,东南风3级,35 优
2024-10-16 周三,30°,25°,阴~多云,东风4级,36 优
2024-10-17 周四,31°,25°,阴~多云,东风4级,31 优
2024-10-18 周五,32°,25°,阴~多云,东南风3级,39 优
2024-10-19 周六,32°,24°,多云,东南风2级,41 优
2024-10-20 周日,30°,23°,阴~多云,东风4级,25 优
2024-10-21 周一,31°,24°,阴~晴,东风2级,35 优
2024-10-22 周二,32°,23°,多云,北风2级,33 优
2024-10-23 周三,28°,20°,多云,北风4级,27 优
2024-10-24 周四,28°,22°,多云,北风3级,28 优
2024-10-25 周五,29°,23°,多云,东北风4级,34 优
2024-10-26 周六,29°,25°,阴~阵雨,东北风4级,36 优
2024-10-27 周日,30°,23°,阴~多云,东北风1级,43 优
2024-10-28 周一,27°,23°,阴~多云,东北风2级,22 优
2024-10-29 周二,28°,21°,多云,东风2级,23 优
2024-10-30 周三,29°,22°,阴~多云,东南风1级,36 优
2024-10-31 周四,31°,22°,阴~多云,西北风3级,33 优
