日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,21°,15°,阴~晴,东北风2级,27 优
2024-10-02 周三,23°,12°,晴,东北风3级,38 优
2024-10-03 周四,23°,12°,晴,东北风3级,35 优
2024-10-04 周五,24°,15°,晴~多云,东北风3级,41 优
2024-10-05 周六,21°,18°,阴~小雨,东北风2级,41 优
2024-10-06 周日,20°,16°,小雨,西北风2级,25 优
2024-10-07 周一,17°,13°,小雨,北风2级,22 优
2024-10-08 周二,21°,13°,阴~多云,东北风3级,41 优
2024-10-09 周三,24°,13°,雾~晴,东北风2级,38 优
2024-10-10 周四,26°,13°,雾~晴,东北风1级,42 优
2024-10-11 周五,28°,14°,雾~多云,东北风3级,54 良
2024-10-12 周六,26°,16°,阴~多云,东北风2级,61 良
2024-10-13 周日,25°,19°,阴~小雨,东北风1级,63 良
2024-10-14 周一,22°,19°,小雨,东北风2级,47 优
2024-10-15 周二,22°,17°,雾~小雨,东北风2级,40 优
2024-10-16 周三,21°,17°,小雨~阴,东北风3级,33 优
2024-10-17 周四,26°,20°,雾~小雨,东南风1级,24 优
2024-10-18 周五,29°,16°,小雨,西南风3级,36 优
2024-10-19 周六,19°,10°,小雨~阴,东北风4级,27 优
2024-10-20 周日,18°,13°,阴~多云,东北风3级,37 优
2024-10-21 周一,22°,15°,多云~小雨,东北风1级,49 优
2024-10-22 周二,16°,9°,小雨~多云,北风3级,33 优
2024-10-23 周三,19°,8°,雾~晴,东北风3级,42 优
2024-10-24 周四,21°,11°,晴~多云,东北风3级,44 优
2024-10-25 周五,22°,16°,多云~小雨,东北风4级,46 优
2024-10-26 周六,18°,16°,小雨,东北风2级,28 优
2024-10-27 周日,18°,13°,小雨~阴,东北风2级,22 优
2024-10-28 周一,20°,11°,多云,东北风2级,50 优
2024-10-29 周二,21°,10°,阴~晴,东北风3级,49 优
2024-10-30 周三,21°,12°,多云,东北风4级,45 优
2024-10-31 周四,21°,16°,小雨,东北风3级,37 优
