日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,18°,4°,阴~晴,北风3级,63 良
2024-11-02 周六,19°,8°,晴~多云,东北风2级,58 良
2024-11-03 周日,14°,1°,中雨~雨夹雪,西南风1级,71 良
2024-11-04 周一,9°,-5°,阴~晴,北风3级,23 优
2024-11-05 周二,9°,-4°,晴,西北风2级,39 优
2024-11-06 周三,6°,-4°,晴,西北风1级,43 优
2024-11-07 周四,14°,3°,晴~多云,东南风2级,59 良
2024-11-08 周五,16°,7°,多云~晴,南风3级,60 良
2024-11-09 周六,18°,8°,多云~阵雨,西南风4级,62 良
2024-11-10 周日,14°,-1°,小雨~晴,西北风2级,47 优
2024-11-11 周一,12°,0°,阴~晴,西南风2级,43 优
2024-11-12 周二,12°,-1°,晴,东北风2级,55 良
2024-11-13 周三,16°,7°,多云~中雨,西南风3级,55 良
2024-11-14 周四,9°,7°,中雨~多云,东南风2级,43 优
2024-11-15 周五,16°,8°,雾~阵雨,南风1级,47 优
2024-11-16 周六,9°,-6°,阴~晴,北风4级,29 优
2024-11-17 周日,4°,-8°,晴,西北风3级,21 优
2024-11-18 周一,0°,-9°,晴,东北风2级,22 优
2024-11-19 周二,5°,-5°,阴~晴,西南风3级,48 优
2024-11-20 周三,9°,-5°,晴~多云,西南风2级,94 良
2024-11-21 周四,8°,-5°,晴,西北风3级,74 良
2024-11-22 周五,3°,-8°,晴,东北风3级,43 优
2024-11-23 周六,5°,-5°,晴,东北风1级,60 良
2024-11-24 周日,7°,4°,阴~多云,南风3级,81 良
2024-11-25 周一,10°,-6°,阴~中雪,东南风3级,51 良
2024-11-26 周二,-5°,-11°,小雪~多云,西北风3级,20 优
2024-11-27 周三,-4°,-8°,阴~阵雪,西南风4级,30 优
2024-11-28 周四,-1°,-8°,阴~晴,西北风3级,39 优
2024-11-29 周五,1°,-7°,阴~多云,西风2级,52 良
2024-11-30 周六,7°,-7°,阴~晴,西南风1级,63 良
