日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,35°,25°,阴~多云,西南风2级,38 优
2024-08-02 周五,35°,27°,阴~多云,西南风3级,40 优
2024-08-03 周六,35°,25°,小雨~中雨,南风2级,38 优
2024-08-04 周日,33°,24°,小雨~阴,西南风2级,27 优
2024-08-05 周一,33°,25°,阴~晴,西南风1级,35 优
2024-08-06 周二,34°,25°,阴~多云,东南风2级,42 优
2024-08-07 周三,30°,24°,阴,西北风2级,48 优
2024-08-08 周四,34°,24°,多云,东风2级,71 良
2024-08-09 周五,31°,26°,暴雨~大雨,东南风3级,45 优
2024-08-10 周六,34°,24°,多云~晴,西南风3级,71 良
2024-08-11 周日,33°,24°,多云~晴,西南风2级,37 优
2024-08-12 周一,32°,24°,阴~多云,西北风3级,31 优
2024-08-13 周二,28°,22°,中雨~晴,东北风3级,32 优
2024-08-14 周三,31°,23°,阴~多云,东北风2级,39 优
2024-08-15 周四,33°,24°,阴~多云,东南风2级,44 优
2024-08-16 周五,33°,24°,多云,东南风2级,45 优
2024-08-17 周六,33°,25°,多云~雷阵雨,东南风2级,48 优
2024-08-18 周日,30°,24°,小雨~中雨,西北风2级,35 优
2024-08-19 周一,28°,23°,大雨~中雨,东风2级,24 优
2024-08-20 周二,31°,21°,雾~多云,西北风2级,35 优
2024-08-21 周三,32°,24°,雾~晴,西北风2级,40 优
2024-08-22 周四,33°,25°,阴~晴,西北风2级,62 良
2024-08-23 周五,34°,25°,阴~雷阵雨,东南风2级,56 良
2024-08-24 周六,34°,26°,阴~雷阵雨,西南风1级,46 优
2024-08-25 周日,29°,24°,小雨~暴雨,东北风1级,43 优
2024-08-26 周一,24°,21°,大暴雨~小雨,东北风5级,33 优
2024-08-27 周二,29°,19°,晴,东北风3级,31 优
2024-08-28 周三,30°,18°,阴~晴,东北风2级,54 良
2024-08-29 周四,30°,21°,晴,西南风1级,55 良
2024-08-30 周五,34°,25°,晴~多云,西南风2级,56 良
2024-08-31 周六,32°,26°,晴~雷阵雨,东南风3级,57 良
