日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,24°,15°,雾~小雨,东南风2级,32 优
2024-02-02 周五,24°,14°,雾~小雨,东北风2级,37 优
2024-02-03 周六,14°,8°,雾~中雨,东北风2级,30 优
2024-02-04 周日,12°,7°,阴,东北风2级,16 优
2024-02-05 周一,9°,6°,小雨,东北风2级,14 优
2024-02-06 周二,7°,5°,阴~小雨,东北风2级,13 优
2024-02-07 周三,7°,5°,阴~小雨,东北风2级,13 优
2024-02-08 周四,9°,7°,多云,东北风2级,19 优
2024-02-09 周五,17°,8°,晴~多云,东北风1级,26 优
2024-02-10 周六,19°,6°,阴~晴,北风1级,51 良
2024-02-11 周日,23°,9°,晴~多云,东北风1级,48 优
2024-02-12 周一,23°,14°,阴,南风2级,52 良
2024-02-13 周二,19°,16°,阴,东南风1级,78 良
2024-02-14 周三,21°,17°,多云~小雨,东南风3级,87 良
2024-02-15 周四,21°,13°,小雨~阴,北风1级,51 良
2024-02-16 周五,16°,13°,阴~多云,东北风1级,23 优
2024-02-17 周六,21°,16°,阴~多云,东南风3级,59 良
2024-02-18 周日,29°,19°,阴~多云,南风3级,53 良
2024-02-19 周一,30°,19°,雾~多云,南风3级,54 良
2024-02-20 周二,30°,21°,阴~多云,南风4级,55 良
2024-02-21 周三,32°,11°,多云~小雨,南风3级,56 良
2024-02-22 周四,10°,5°,阴~小雨,东北风3级,31 优
2024-02-23 周五,7°,4°,阴~小雨,东北风3级,16 优
2024-02-24 周六,7°,4°,阴~小雨,东北风2级,14 优
2024-02-25 周日,8°,6°,阴~小雨,东北风2级,15 优
2024-02-26 周一,8°,7°,阴~小雨,东北风2级,18 优
2024-02-27 周二,11°,8°,多云~小雨,东北风1级,27 优
2024-02-28 周三,8°,7°,小雨,东北风1级,23 优
2024-02-29 周四,12°,8°,阴,东北风2级,17 优
