日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,16°,11°,阴~多云,东北风3级,-
2023-12-02 周六,20°,13°,阴~多云,东北风1级,-
2023-12-03 周日,19°,12°,阴,北风2级,-
2023-12-04 周一,17°,12°,阴~多云,北风2级,-
2023-12-05 周二,21°,13°,多云~阴,北风2级,-
2023-12-06 周三,19°,11°,小雨~多云,东北风2级,-
2023-12-07 周四,24°,11°,晴~多云,东北风2级,-
2023-12-08 周五,25°,12°,晴~多云,西南风1级,-
2023-12-09 周六,26°,16°,阴~多云,西南风1级,-
2023-12-10 周日,30°,19°,多云,西南风2级,-
2023-12-11 周一,29°,17°,阴~多云,西南风1级,-
2023-12-12 周二,21°,14°,阴~多云,东北风2级,-
2023-12-13 周三,20°,15°,阴~多云,西南风1级,-
2023-12-14 周四,24°,18°,多云,西南风1级,-
2023-12-15 周五,29°,8°,雾~小雨,西南风1级,-
2023-12-16 周六,10°,5°,多云~小雨,东北风3级,-
2023-12-17 周日,10°,3°,雨夹雪~阴,东北风2级,-
2023-12-18 周一,15°,6°,阴~多云,西北风2级,-
2023-12-19 周二,9°,5°,小雨~多云,北风3级,-
2023-12-20 周三,9°,3°,多云,东北风3级,-
2023-12-21 周四,6°,2°,阴~多云,东北风4级,-
2023-12-22 周五,10°,1°,多云,东北风3级,-
2023-12-23 周六,7°,2°,小雨~多云,北风2级,-
2023-12-24 周日,15°,3°,晴~多云,东北风3级,-
2023-12-25 周一,17°,3°,晴,东北风2级,-
2023-12-26 周二,20°,7°,晴~多云,西北风1级,-
2023-12-27 周三,23°,10°,晴~多云,北风1级,-
2023-12-28 周四,24°,11°,阴~晴,北风1级,-
2023-12-29 周五,25°,12°,阴~多云,西北风1级,-
2023-12-30 周六,21°,14°,阴~多云,西北风1级,-
2023-12-31 周日,25°,13°,多云,东北风2级,62 良
