日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,21°,17°,中雨~小雨,东北风3级,36 优
2024-05-02 周四,22°,18°,阴~多云,东北风4级,33 优
2024-05-03 周五,25°,19°,多云~阴,东北风3级,39 优
2024-05-04 周六,25°,20°,阴~大雨,东北风3级,35 优
2024-05-05 周日,28°,21°,小雨~多云,西南风3级,36 优
2024-05-06 周一,31°,21°,多云~阴,东南风1级,55 良
2024-05-07 周二,26°,21°,阴~多云,东北风2级,44 优
2024-05-08 周三,28°,19°,阴,东北风4级,54 良
2024-05-09 周四,24°,19°,阴,东北风5级,50 优
2024-05-10 周五,28°,20°,多云~阴,东北风3级,38 优
2024-05-11 周六,30°,23°,阴,西南风2级,52 良
2024-05-12 周日,30°,19°,阴~小雨,西南风3级,44 优
2024-05-13 周一,21°,17°,小雨~晴,东北风4级,34 优
2024-05-14 周二,26°,16°,晴~多云,东北风3级,38 优
2024-05-15 周三,27°,18°,晴~多云,东北风2级,49 优
2024-05-16 周四,25°,16°,阴~晴,东北风5级,53 良
2024-05-17 周五,28°,20°,阴,东风2级,41 优
2024-05-18 周六,29°,20°,阴,东北风3级,45 优
2024-05-19 周日,26°,22°,阴~小雨,东北风4级,32 优
2024-05-20 周一,25°,21°,小雨~中雨,东北风3级,24 优
2024-05-21 周二,22°,20°,中雨~小雨,东北风2级,20 优
2024-05-22 周三,21°,20°,中雨,东北风3级,24 优
2024-05-23 周四,23°,21°,中雨~小雨,东北风2级,28 优
2024-05-24 周五,24°,22°,小雨,西南风1级,55 良
2024-05-25 周六,26°,22°,阴~小雨,东南风1级,49 优
2024-05-26 周日,26°,23°,小雨~阴,西南风3级,24 优
2024-05-27 周一,27°,23°,小雨,西南风4级,22 优
2024-05-28 周二,24°,20°,阴~晴,东北风5级,30 优
2024-05-29 周三,26°,20°,晴~小雨,东北风4级,43 优
2024-05-30 周四,26°,21°,小雨,东北风2级,32 优
2024-05-31 周五,29°,24°,小雨,西南风3级,27 优
