日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,31°,21°,阴~晴,西南风1级,42 优
2024-06-02 周日,33°,19°,阴~晴,西南风3级,73 良
2024-06-03 周一,34°,19°,阴~多云,东北风1级,70 良
2024-06-04 周二,33°,21°,阴,东南风3级,58 良
2024-06-05 周三,27°,16°,阴~多云,东南风3级,51 良
2024-06-06 周四,29°,20°,阴~多云,南风3级,63 良
2024-06-07 周五,30°,21°,阴,西南风3级,65 良
2024-06-08 周六,32°,23°,阴,西北风2级,69 良
2024-06-09 周日,36°,24°,阴~多云,西南风2级,72 良
2024-06-10 周一,38°,25°,多云,西南风3级,81 良
2024-06-11 周二,36°,23°,多云~晴,西南风4级,78 良
2024-06-12 周三,37°,22°,阴~多云,西南风3级,76 良
2024-06-13 周四,39°,26°,多云,南风4级,91 良
2024-06-14 周五,35°,21°,阴~晴,西南风3级,76 良
2024-06-15 周六,35°,20°,多云~阴,北风3级,69 良
2024-06-16 周日,33°,20°,阴~晴,东南风2级,53 良
2024-06-17 周一,34°,22°,阴~晴,西南风3级,77 良
2024-06-18 周二,34°,21°,阴~多云,南风3级,75 良
2024-06-19 周三,34°,21°,阴~多云,东南风3级,80 良
2024-06-20 周四,36°,23°,多云~阴,东风2级,78 良
2024-06-21 周五,30°,22°,大雨~多云,西北风1级,50 优
2024-06-22 周六,33°,23°,多云~阴,西北风2级,61 良
2024-06-23 周日,36°,20°,多云~晴,西北风3级,99 良
2024-06-24 周一,32°,20°,阴~晴,东北风3级,88 良
2024-06-25 周二,34°,23°,多云~晴,东南风2级,87 良
2024-06-26 周三,34°,20°,多云~晴,南风3级,78 良
2024-06-27 周四,33°,21°,阴~晴,东南风3级,50 优
2024-06-28 周五,34°,24°,阴,东南风3级,66 良
2024-06-29 周六,28°,23°,小雨~多云,东北风2级,53 良
2024-06-30 周日,35°,24°,晴~小雨,西南风3级,79 良
