日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,5°,-1°,阴,东北风3级,51 良
2024-03-02 周六,10°,1°,阴~晴,西南风3级,61 良
2024-03-03 周日,14°,5°,多云~小雨,西南风2级,75 良
2024-03-04 周一,11°,8°,小雨,东南风3级,61 良
2024-03-05 周二,9°,4°,小雨~阴,西北风3级,33 优
2024-03-06 周三,9°,0°,阴~多云,北风3级,63 良
2024-03-07 周四,12°,2°,雾~晴,西南风2级,64 良
2024-03-08 周五,11°,0°,雾~多云,西北风2级,100 良
2024-03-09 周六,12°,1°,雾~晴,东南风2级,91 良
2024-03-10 周日,15°,7°,多云~阴,东南风3级,80 良
2024-03-11 周一,19°,8°,阴~晴,西南风3级,68 良
2024-03-12 周二,12°,1°,晴~阴,东北风4级,88 良
2024-03-13 周三,15°,8°,阴,东南风3级,62 良
2024-03-14 周四,12°,5°,阴~多云,东风2级,79 良
2024-03-15 周五,18°,10°,雾~晴,东南风3级,62 良
2024-03-16 周六,21°,11°,阴~多云,西南风1级,76 良
2024-03-17 周日,11°,4°,雾~多云,东北风4级,93 良
2024-03-18 周一,10°,4°,阴~晴,东北风2级,52 良
2024-03-19 周二,16°,5°,多云~晴,西北风3级,76 良
2024-03-20 周三,15°,3°,晴,东北风3级,77 良
2024-03-21 周四,21°,11°,多云~晴,东南风3级,72 良
2024-03-22 周五,26°,12°,晴~小雨,西南风3级,76 良
2024-03-23 周六,17°,12°,小雨~大雨,东北风3级,82 良
2024-03-24 周日,16°,12°,阴~大雨,东北风3级,41 优
2024-03-25 周一,12°,5°,小雨,西北风3级,25 优
2024-03-26 周二,14°,7°,阴,西北风3级,43 优
2024-03-27 周三,13°,10°,小雨,东南风3级,66 良
2024-03-28 周四,15°,11°,雾~晴,西北风3级,62 良
2024-03-29 周五,27°,12°,晴~多云,西南风4级,61 良
2024-03-30 周六,28°,11°,雾~阴,西风1级,76 良
2024-03-31 周日,20°,8°,阴~晴,东风2级,85 良
