日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,19°,9°,雾~晴,西北风2级,87 良
2024-11-02 周六,22°,10°,多云~晴,西南风1级,71 良
2024-11-03 周日,21°,8°,多云,西北风2级,73 良
2024-11-04 周一,15°,5°,阴~多云,东北风3级,66 良
2024-11-05 周二,16°,7°,晴,东北风1级,50 优
2024-11-06 周三,16°,8°,多云~晴,东风2级,90 良
2024-11-07 周四,16°,9°,多云~阴,东风1级,126 轻度
2024-11-08 周五,16°,11°,阴~多云,东北风2级,106 轻度
2024-11-09 周六,13°,9°,阴~晴,东北风1级,84 良
2024-11-10 周日,21°,11°,多云,东北风1级,128 轻度
2024-11-11 周一,15°,10°,多云,北风1级,174 中度
2024-11-12 周二,14°,13°,小雨,东北风1级,222 重度
2024-11-13 周三,16°,11°,小雨,东北风2级,179 中度
2024-11-14 周四,19°,13°,雾~多云,西风1级,79 良
2024-11-15 周五,14°,13°,雾~小雨,东北风2级,113 轻度
2024-11-16 周六,15°,7°,小雨,西风4级,65 良
2024-11-17 周日,11°,7°,阴,西南风1级,36 优
2024-11-18 周一,8°,4°,小雨~阴,东北风3级,56 良
2024-11-19 周二,9°,5°,阴~多云,西南风1级,50 优
2024-11-20 周三,15°,4°,雾~多云,西北风2级,59 良
2024-11-21 周四,17°,4°,多云~晴,西北风2级,59 良
2024-11-22 周五,12°,4°,多云,东北风2级,118 轻度
2024-11-23 周六,10°,6°,多云~阴,东风2级,151 中度
2024-11-24 周日,8°,5°,雾~小雨,东北风1级,103 轻度
2024-11-25 周一,9°,0°,阴~晴,西北风5级,54 良
2024-11-26 周二,8°,2°,晴,西北风4级,39 优
2024-11-27 周三,10°,4°,晴,西北风5级,60 良
2024-11-28 周四,11°,5°,晴,西北风5级,50 优
2024-11-29 周五,16°,6°,晴~阴,西风4级,35 优
2024-11-30 周六,17°,5°,多云~晴,西风3级,47 优
