日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,20°,11°,多云~晴,东北风3级,109 轻度
2024-11-02 周六,24°,14°,晴,东南风1级,51 良
2024-11-03 周日,22°,6°,多云,西南风3级,76 良
2024-11-04 周一,12°,2°,阴~晴,东北风3级,51 良
2024-11-05 周二,15°,5°,晴,西北风1级,41 优
2024-11-06 周三,19°,10°,晴,南风1级,39 优
2024-11-07 周四,19°,10°,晴,南风2级,48 优
2024-11-08 周五,19°,9°,阴~多云,南风2级,49 优
2024-11-09 周六,17°,13°,阴,南风2级,56 良
2024-11-10 周日,18°,14°,阴~小雨,东南风1级,56 良
2024-11-11 周一,19°,13°,雾~多云,西风2级,112 轻度
2024-11-12 周二,18°,15°,多云~小雨,东风1级,195 中度
2024-11-13 周三,19°,15°,多云~小雨,东南风1级,106 轻度
2024-11-14 周四,15°,14°,小雨~阴,东北风1级,79 良
2024-11-15 周五,17°,14°,雾~小雨,西北风1级,66 良
2024-11-16 周六,15°,8°,雾~阴,东北风3级,79 良
2024-11-17 周日,14°,4°,多云~晴,东北风3级,59 良
2024-11-18 周一,11°,7°,阴~多云,东风3级,40 优
2024-11-19 周二,12°,7°,阴~晴,西南风2级,37 优
2024-11-20 周三,13°,6°,多云~晴,西南风2级,59 良
2024-11-21 周四,15°,5°,多云~晴,西北风2级,85 良
2024-11-22 周五,15°,5°,多云~晴,东北风2级,61 良
2024-11-23 周六,14°,6°,多云~晴,东南风1级,60 良
2024-11-24 周日,13°,7°,阴~小雨,南风2级,62 良
2024-11-25 周一,7°,-2°,中雨~多云,西北风3级,48 优
2024-11-26 周二,5°,-3°,晴~多云,西风4级,27 优
2024-11-27 周三,5°,0°,晴~多云,西风3级,39 优
2024-11-28 周四,6°,1°,晴,西北风3级,43 优
2024-11-29 周五,14°,6°,晴,西南风2级,44 优
2024-11-30 周六,17°,6°,阴~多云,南风2级,39 优
