日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,33°,27°,阴~晴,西南风3级,28 优
2024-08-02 周五,35°,27°,阴~多云,西南风3级,31 优
2024-08-03 周六,36°,29°,中雨~多云,南风3级,33 优
2024-08-04 周日,36°,25°,阴~中雨,西南风3级,33 优
2024-08-05 周一,31°,25°,小雨,东南风2级,23 优
2024-08-06 周二,33°,25°,阴~小雨,南风1级,31 优
2024-08-07 周三,35°,25°,雾~大雨,东南风1级,41 优
2024-08-08 周四,32°,27°,小雨,东风1级,31 优
2024-08-09 周五,35°,28°,阴~雷阵雨,东南风3级,46 优
2024-08-10 周六,35°,26°,阴~晴,西南风3级,55 良
2024-08-11 周日,35°,25°,晴,西风2级,102 轻度
2024-08-12 周一,35°,26°,晴,北风1级,58 良
2024-08-13 周二,34°,26°,阴~晴,北风2级,43 优
2024-08-14 周三,33°,24°,小雨,东北风2级,50 优
2024-08-15 周四,34°,25°,阴~晴,北风1级,46 优
2024-08-16 周五,32°,26°,雾~多云,东南风1级,51 良
2024-08-17 周六,34°,25°,阴~小雨,东南风1级,43 优
2024-08-18 周日,34°,25°,阴~中雨,南风2级,42 优
2024-08-19 周一,28°,24°,小雨~中雨,东北风2级,29 优
2024-08-20 周二,32°,24°,多云,西北风2级,38 优
2024-08-21 周三,33°,25°,阴~晴,西北风1级,45 优
2024-08-22 周四,34°,26°,阴~晴,西南风2级,54 良
2024-08-23 周五,36°,27°,阴~晴,东南风1级,50 优
2024-08-24 周六,37°,27°,多云,东北风2级,62 良
2024-08-25 周日,35°,26°,多云~小雨,东南风2级,64 良
2024-08-26 周一,34°,25°,阴,西南风3级,42 优
2024-08-27 周二,26°,24°,阴~多云,东北风5级,31 优
2024-08-28 周三,32°,22°,阴~晴,东北风3级,41 优
2024-08-29 周四,32°,24°,晴,东北风1级,61 良
2024-08-30 周五,34°,25°,多云~晴,西南风1级,46 优
2024-08-31 周六,35°,27°,阴~多云,南风2级,52 良
