日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,24°,8°,阴~晴,西北风2级,53 良
2024-10-02 周三,22°,8°,晴,东南风1级,54 良
2024-10-03 周四,23°,11°,雾~晴,东南风2级,57 良
2024-10-04 周五,23°,11°,多云,东南风2级,58 良
2024-10-05 周六,21°,13°,多云,东南风1级,69 良
2024-10-06 周日,25°,14°,多云,西南风1级,72 良
2024-10-07 周一,22°,12°,多云~晴,东风2级,96 良
2024-10-08 周二,24°,14°,多云,东南风1级,137 轻度
2024-10-09 周三,27°,13°,多云~阴,西北风2级,117 轻度
2024-10-10 周四,28°,12°,多云~晴,东南风1级,58 良
2024-10-11 周五,26°,16°,多云~阴,东南风1级,78 良
2024-10-12 周六,23°,17°,多云~阴,南风1级,110 轻度
2024-10-13 周日,24°,13°,多云~晴,东南风2级,122 轻度
2024-10-14 周一,28°,13°,多云~晴,西南风1级,99 良
2024-10-15 周二,27°,14°,多云~晴,东风3级,117 轻度
2024-10-16 周三,22°,16°,多云~小雨,东风3级,126 轻度
2024-10-17 周四,20°,16°,小雨,东风3级,101 轻度
2024-10-18 周五,23°,11°,雾~小雨,东风1级,23 优
2024-10-19 周六,15°,5°,阴,东南风3级,37 优
2024-10-20 周日,8°,2°,小雨~多云,东风1级,24 优
2024-10-21 周一,12°,8°,多云,东南风1级,47 优
2024-10-22 周二,21°,6°,晴,西北风3级,27 优
2024-10-23 周三,22°,8°,雾~晴,西南风1级,33 优
2024-10-24 周四,23°,10°,多云~阴,东风2级,50 优
2024-10-25 周五,22°,8°,多云,东风2级,93 良
2024-10-26 周六,21°,11°,多云~阴,西风2级,71 良
2024-10-27 周日,23°,10°,雾~多云,东南风1级,50 优
2024-10-28 周一,20°,10°,多云~晴,东南风1级,162 中度
2024-10-29 周二,24°,12°,多云,南风1级,130 轻度
2024-10-30 周三,20°,11°,多云~阴,东北风3级,146 轻度
2024-10-31 周四,17°,8°,小雨~多云,东北风1级,197 中度
