日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,22°,20°,雾~多云,东北风5级,-
2023-12-02 周六,23°,20°,阴,东北风5级,-
2023-12-03 周日,23°,21°,阴~多云,东北风4级,-
2023-12-04 周一,24°,20°,阴~多云,东北风4级,-
2023-12-05 周二,25°,21°,多云~小雨,东北风2级,-
2023-12-06 周三,23°,19°,阴~多云,东北风3级,-
2023-12-07 周四,23°,17°,晴~多云,东北风3级,-
2023-12-08 周五,27°,19°,晴~多云,东风2级,-
2023-12-09 周六,29°,21°,阴~多云,东南风2级,-
2023-12-10 周日,30°,20°,雾~多云,东南风3级,-
2023-12-11 周一,28°,21°,多云,东风2级,-
2023-12-12 周二,28°,22°,多云,东北风3级,-
2023-12-13 周三,27°,23°,阴~多云,东风3级,-
2023-12-14 周四,28°,23°,阴~多云,东南风3级,-
2023-12-15 周五,28°,21°,阴~多云,东风2级,-
2023-12-16 周六,27°,17°,中雨~小雨,东北风4级,-
2023-12-17 周日,20°,16°,小雨,东北风5级,-
2023-12-18 周一,20°,18°,小雨,东风4级,-
2023-12-19 周二,15°,12°,小雨~阴,东北风4级,-
2023-12-20 周三,15°,11°,雾~小雨,北风3级,-
2023-12-21 周四,14°,10°,阴,东北风4级,-
2023-12-22 周五,13°,10°,阴~多云,东北风4级,-
2023-12-23 周六,15°,12°,阴~多云,东北风3级,-
2023-12-24 周日,17°,12°,阴~多云,东北风3级,-
2023-12-25 周一,18°,14°,阴~多云,东北风4级,-
2023-12-26 周二,21°,18°,阴~多云,东北风4级,-
2023-12-27 周三,22°,18°,阴~多云,东北风3级,-
2023-12-28 周四,24°,20°,阴~多云,东北风4级,-
2023-12-29 周五,23°,19°,阴~小雨,东北风4级,-
2023-12-30 周六,22°,18°,雾~晴,东北风4级,-
2023-12-31 周日,23°,19°,晴,东北风3级,68 良
