日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,32°,21°,阴~多云,西北风1级,49 优
2024-06-02 周日,33°,15°,阴~多云,西风3级,73 良
2024-06-03 周一,33°,16°,多云,东北风3级,75 良
2024-06-04 周二,33°,20°,阴,东南风3级,69 良
2024-06-05 周三,31°,17°,阴~晴,东南风2级,62 良
2024-06-06 周四,31°,20°,阴,西南风2级,66 良
2024-06-07 周五,32°,17°,阴~雷阵雨,西南风3级,55 良
2024-06-08 周六,33°,20°,雾~阴,西北风2级,78 良
2024-06-09 周日,38°,20°,阴~多云,西南风2级,79 良
2024-06-10 周一,40°,26°,多云,南风1级,89 良
2024-06-11 周二,38°,25°,多云,西南风4级,82 良
2024-06-12 周三,39°,25°,小雨~晴,西南风2级,77 良
2024-06-13 周四,40°,27°,多云,西南风4级,88 良
2024-06-14 周五,32°,18°,多云,西南风2级,68 良
2024-06-15 周六,34°,17°,多云,东北风2级,71 良
2024-06-16 周日,35°,22°,多云,西南风1级,53 良
2024-06-17 周一,36°,24°,晴,西南风3级,67 良
2024-06-18 周二,36°,23°,阴~多云,西南风3级,75 良
2024-06-19 周三,36°,20°,阴~多云,东南风3级,65 良
2024-06-20 周四,36°,23°,晴~多云,东北风3级,71 良
2024-06-21 周五,33°,21°,小雨~阴,西北风2级,74 良
2024-06-22 周六,35°,23°,多云,西北风2级,84 良
2024-06-23 周日,36°,18°,多云~晴,西北风3级,104 轻度
2024-06-24 周一,32°,19°,多云~晴,东北风3级,83 良
2024-06-25 周二,36°,22°,阴~晴,东南风1级,69 良
2024-06-26 周三,36°,23°,多云~晴,西南风2级,78 良
2024-06-27 周四,35°,24°,多云~晴,东南风2级,48 优
2024-06-28 周五,37°,25°,多云,南风3级,73 良
2024-06-29 周六,31°,24°,阴~多云,东南风2级,55 良
2024-06-30 周日,36°,23°,阴~小雨,西南风1级,95 良
