日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,26°,16°,阴~小雨,东南风3级,79 良
2024-04-02 周二,16°,13°,小雨,东北风3级,81 良
2024-04-03 周三,13°,10°,小雨~阴,西北风2级,65 良
2024-04-04 周四,14°,5°,阴~多云,东北风3级,45 优
2024-04-05 周五,19°,10°,阴~多云,东南风2级,52 良
2024-04-06 周六,21°,9°,阴,东南风2级,61 良
2024-04-07 周日,21°,11°,阴,东南风3级,65 良
2024-04-08 周一,24°,9°,雾~阴,东南风1级,59 良
2024-04-09 周二,25°,13°,多云,西南风1级,56 良
2024-04-10 周三,24°,12°,多云,东南风3级,67 良
2024-04-11 周四,24°,14°,阴,东南风2级,60 良
2024-04-12 周五,24°,14°,多云,东南风2级,58 良
2024-04-13 周六,18°,14°,雾~小雨,东南风4级,41 优
2024-04-14 周日,17°,13°,雾~晴,东北风2级,24 优
2024-04-15 周一,25°,14°,雾~多云,西南风2级,40 优
2024-04-16 周二,23°,13°,雾~阴,东北风3级,67 良
2024-04-17 周三,24°,10°,阴~晴,东风2级,86 良
2024-04-18 周四,24°,13°,晴~多云,东南风2级,93 良
2024-04-19 周五,24°,11°,阴,东南风3级,69 良
2024-04-20 周六,22°,14°,雾~多云,西北风2级,70 良
2024-04-21 周日,24°,13°,阴~晴,东南风2级,61 良
2024-04-22 周一,24°,16°,雾~多云,东南风2级,61 良
2024-04-23 周二,24°,11°,阴~晴,西北风3级,84 良
2024-04-24 周三,25°,13°,多云~晴,西南风3级,98 良
2024-04-25 周四,28°,15°,阴~多云,东南风2级,85 良
2024-04-26 周五,27°,16°,晴,东南风3级,75 良
2024-04-27 周六,25°,17°,雾~阴,东南风3级,43 优
2024-04-28 周日,21°,15°,阴~多云,东风3级,34 优
2024-04-29 周一,25°,14°,阴~多云,东北风2级,44 优
2024-04-30 周二,17°,9°,阴~多云,东北风2级,59 良
