日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,5°,0°,阴~多云,东北风2级,61 良
2024-03-02 周六,11°,0°,晴,西南风3级,70 良
2024-03-03 周日,14°,5°,雾~阴,东南风2级,66 良
2024-03-04 周一,8°,6°,小雨,东风2级,86 良
2024-03-05 周二,7°,4°,小雨~阴,北风3级,71 良
2024-03-06 周三,8°,1°,雾~多云,东北风2级,87 良
2024-03-07 周四,13°,1°,多云~晴,西风3级,110 轻度
2024-03-08 周五,13°,0°,多云,西北风2级,94 良
2024-03-09 周六,14°,2°,多云,东南风2级,65 良
2024-03-10 周日,16°,9°,阴,东南风3级,115 轻度
2024-03-11 周一,21°,7°,多云~晴,西风3级,99 良
2024-03-12 周二,16°,6°,晴~多云,东北风3级,104 轻度
2024-03-13 周三,16°,8°,阴,东南风3级,94 良
2024-03-14 周四,14°,5°,小雨~晴,东风3级,87 良
2024-03-15 周五,18°,9°,多云~晴,东南风3级,112 轻度
2024-03-16 周六,22°,12°,多云~小雨,西南风1级,145 轻度
2024-03-17 周日,13°,5°,小雨~阴,东北风3级,155 中度
2024-03-18 周一,11°,4°,阴~多云,东北风2级,61 良
2024-03-19 周二,17°,4°,晴,西北风3级,101 轻度
2024-03-20 周三,20°,6°,晴~多云,东风1级,121 轻度
2024-03-21 周四,24°,11°,多云~晴,东南风4级,82 良
2024-03-22 周五,25°,15°,阴~小雨,西南风2级,67 良
2024-03-23 周六,18°,14°,暴雨~小雨,东风4级,73 良
2024-03-24 周日,13°,8°,雾~中雨,东北风3级,56 良
2024-03-25 周一,8°,4°,小雨~多云,西北风4级,52 良
2024-03-26 周二,15°,9°,多云~阴,西南风1级,69 良
2024-03-27 周三,11°,9°,小雨~阴,东南风2级,64 良
2024-03-28 周四,19°,14°,雾~晴,西风2级,76 良
2024-03-29 周五,28°,13°,晴~阴,西南风3级,68 良
2024-03-30 周六,30°,13°,多云~阴,东北风1级,67 良
2024-03-31 周日,23°,13°,阴~多云,东风1级,108 轻度
