日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,32°,22°,阴~多云,北风4级,29 优
2024-10-02 周三,28°,20°,阴~晴,北风4级,27 优
2024-10-03 周四,28°,20°,多云~晴,东北风3级,36 优
2024-10-04 周五,29°,23°,阴~多云,东北风2级,35 优
2024-10-05 周六,30°,24°,阴~多云,东北风2级,36 优
2024-10-06 周日,32°,26°,阴~多云,东北风1级,38 优
2024-10-07 周一,33°,25°,多云,东北风2级,38 优
2024-10-08 周二,31°,23°,晴~多云,东北风2级,46 优
2024-10-09 周三,28°,23°,阴~多云,东北风1级,42 优
2024-10-10 周四,30°,23°,阴~多云,东风1级,35 优
2024-10-11 周五,28°,23°,阴~多云,东风2级,35 优
2024-10-12 周六,31°,24°,阴~多云,东南风2级,50 优
2024-10-13 周日,31°,25°,多云,东南风2级,35 优
2024-10-14 周一,32°,24°,阴~多云,东南风3级,27 优
2024-10-15 周二,32°,24°,阴~阵雨,东南风2级,29 优
2024-10-16 周三,32°,26°,阴~多云,东南风3级,28 优
2024-10-17 周四,31°,26°,阴~多云,东南风3级,27 优
2024-10-18 周五,31°,26°,阴~多云,东南风2级,26 优
2024-10-19 周六,34°,25°,阴~多云,东南风1级,38 优
2024-10-20 周日,31°,24°,阴~多云,东风2级,26 优
2024-10-21 周一,31°,23°,阴~晴,东风1级,38 优
2024-10-22 周二,31°,22°,阴~晴,东北风3级,29 优
2024-10-23 周三,27°,20°,阴~晴,东北风4级,28 优
2024-10-24 周四,26°,20°,阴~多云,北风3级,39 优
2024-10-25 周五,28°,23°,阴~小雨,东北风4级,45 优
2024-10-26 周六,27°,23°,阴~小雨,东北风4级,46 优
2024-10-27 周日,30°,23°,阴~多云,东北风2级,43 优
2024-10-28 周一,26°,23°,阴,东北风3级,21 优
2024-10-29 周二,27°,22°,阴~多云,东北风2级,27 优
2024-10-30 周三,28°,21°,阴~晴,东北风2级,38 优
2024-10-31 周四,29°,22°,晴~多云,西北风3级,41 优
