日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,25°,17°,雾~阴,南风2级,63 良
2024-02-02 周五,26°,19°,阴~阵雨,南风1级,35 优
2024-02-03 周六,23°,14°,阴~小雨,东南风1级,30 优
2024-02-04 周日,16°,9°,小雨~阴,北风2级,22 优
2024-02-05 周一,13°,10°,阴~阵雨,北风2级,10 优
2024-02-06 周二,12°,9°,阴~阵雨,北风2级,11 优
2024-02-07 周三,10°,6°,小雨,北风3级,8 优
2024-02-08 周四,10°,6°,阵雨,北风2级,10 优
2024-02-09 周五,11°,7°,小雨~多云,北风2级,24 优
2024-02-10 周六,19°,7°,晴~多云,北风2级,41 优
2024-02-11 周日,23°,9°,晴,东北风2级,71 良
2024-02-12 周一,23°,11°,阴~晴,东南风2级,63 良
2024-02-13 周二,25°,12°,阴~多云,南风2级,77 良
2024-02-14 周三,25°,16°,阴~多云,南风2级,83 良
2024-02-15 周四,26°,13°,阴~多云,西南风1级,58 良
2024-02-16 周五,24°,16°,多云,西北风1级,27 优
2024-02-17 周六,22°,19°,阴~小雨,南风3级,46 优
2024-02-18 周日,25°,19°,多云,南风3级,29 优
2024-02-19 周一,23°,21°,阴~多云,东南风2级,41 优
2024-02-20 周二,26°,21°,阴,东南风4级,27 优
2024-02-21 周三,26°,15°,阴~小雨,东南风3级,38 优
2024-02-22 周四,15°,11°,阴~阵雨,北风3级,17 优
2024-02-23 周五,9°,8°,阴,北风3级,9 优
2024-02-24 周六,10°,7°,阴,北风3级,10 优
2024-02-25 周日,10°,8°,阴,北风2级,16 优
2024-02-26 周一,10°,8°,阴,北风2级,12 优
2024-02-27 周二,13°,7°,阴~多云,北风2级,12 优
2024-02-28 周三,10°,8°,雾~阵雨,北风2级,14 优
2024-02-29 周四,10°,8°,小雨~阵雨,西北风3级,11 优
