日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,35°,27°,阴~多云,东南风2级,32 优
2024-07-02 周二,36°,26°,阴~晴,南风3级,27 优
2024-07-03 周三,36°,26°,多云~晴,东南风2级,34 优
2024-07-04 周四,36°,25°,晴,东南风2级,37 优
2024-07-05 周五,35°,26°,多云~晴,东南风2级,35 优
2024-07-06 周六,35°,26°,阴~晴,东南风2级,31 优
2024-07-07 周日,36°,26°,多云~晴,东南风2级,32 优
2024-07-08 周一,35°,26°,阴~晴,东南风2级,32 优
2024-07-09 周二,34°,26°,阴~晴,东南风2级,40 优
2024-07-10 周三,36°,26°,阴~晴,东南风2级,49 优
2024-07-11 周四,37°,27°,中雨~晴,东南风2级,45 优
2024-07-12 周五,37°,27°,阴~多云,东南风2级,51 良
2024-07-13 周六,35°,26°,中雨~雷阵雨,东南风2级,34 优
2024-07-14 周日,35°,26°,阴~多云,东南风2级,33 优
2024-07-15 周一,36°,26°,阴~多云,东南风2级,26 优
2024-07-16 周二,34°,26°,多云~雷阵雨,东南风3级,20 优
2024-07-17 周三,35°,26°,阴~晴,东南风2级,28 优
2024-07-18 周四,37°,26°,多云~晴,东南风2级,44 优
2024-07-19 周五,36°,27°,多云~晴,东南风2级,32 优
2024-07-20 周六,36°,27°,阴~晴,东南风2级,22 优
2024-07-21 周日,36°,27°,阴~晴,东南风3级,28 优
2024-07-22 周一,35°,27°,多云~晴,东南风3级,17 优
2024-07-23 周二,37°,26°,多云,东南风2级,16 优
2024-07-24 周三,33°,25°,中雨,东北风3级,18 优
2024-07-25 周四,31°,24°,中雨~大雨,东风5级,19 优
2024-07-26 周五,29°,25°,大雨,东南风5级,20 优
2024-07-27 周六,29°,26°,小雨,东南风4级,20 优
2024-07-28 周日,33°,26°,小雨~多云,东南风3级,18 优
2024-07-29 周一,34°,26°,阴~小雨,东南风2级,16 优
2024-07-30 周二,32°,26°,小雨~多云,东南风2级,18 优
2024-07-31 周三,35°,26°,阴~晴,东南风2级,23 优
