日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,38°,23°,多云~小雨,西北风1级,56 良
2024-09-02 周一,31°,22°,多云,东北风3级,48 优
2024-09-03 周二,36°,22°,阴~多云,东南风1级,37 优
2024-09-04 周三,36°,21°,阴~小雨,西北风2级,60 良
2024-09-05 周四,32°,20°,阴~晴,西风2级,32 优
2024-09-06 周五,35°,19°,多云~晴,东南风1级,41 优
2024-09-07 周六,34°,21°,阴~多云,东北风2级,41 优
2024-09-08 周日,39°,25°,多云,东南风3级,34 优
2024-09-09 周一,37°,20°,阴~小雨,西南风1级,48 优
2024-09-10 周二,29°,19°,阴~晴,东北风1级,46 优
2024-09-11 周三,32°,20°,阴~晴,东北风3级,45 优
2024-09-12 周四,33°,22°,多云~晴,东北风2级,38 优
2024-09-13 周五,33°,22°,阴~多云,西风2级,52 良
2024-09-14 周六,33°,23°,阴~晴,东北风2级,40 优
2024-09-15 周日,32°,19°,阴~晴,东南风2级,54 良
2024-09-16 周一,33°,22°,多云~晴,东北风2级,50 优
2024-09-17 周二,34°,21°,晴,东北风2级,52 良
2024-09-18 周三,35°,22°,晴,东北风3级,51 良
2024-09-19 周四,34°,22°,多云~晴,东北风3级,34 优
2024-09-20 周五,28°,19°,阴,西南风4级,36 优
2024-09-21 周六,28°,14°,阴~晴,东北风1级,37 优
2024-09-22 周日,27°,15°,多云~晴,东北风3级,57 良
2024-09-23 周一,28°,13°,多云~晴,东北风2级,71 良
2024-09-24 周二,31°,13°,阴~晴,北风2级,83 良
2024-09-25 周三,31°,18°,多云,东北风2级,100 良
2024-09-26 周四,30°,15°,阴~晴,东北风2级,143 轻度
2024-09-27 周五,34°,21°,晴~多云,东风2级,119 轻度
2024-09-28 周六,32°,20°,多云~小雨,东南风2级,72 良
2024-09-29 周日,24°,13°,暴雨~中雨,西南风3级,47 优
2024-09-30 周一,23°,11°,阴~多云,西北风2级,35 优
