日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,8°,0°,多云,东北风2级,149 轻度
2024-01-02 周二,10°,2°,小雨,东北风1级,113 轻度
2024-01-03 周三,11°,0°,晴,西北风3级,107 轻度
2024-01-04 周四,12°,1°,多云~阴,东南风3级,106 轻度
2024-01-05 周五,13°,3°,多云~小雨,西北风1级,102 轻度
2024-01-06 周六,11°,-1°,阴~晴,西北风2级,145 轻度
2024-01-07 周日,3°,-2°,阴~晴,东北风2级,143 轻度
2024-01-08 周一,5°,2°,阴~多云,东南风2级,54 良
2024-01-09 周二,14°,2°,多云,西北风2级,120 轻度
2024-01-10 周三,6°,-1°,多云,西北风3级,156 中度
2024-01-11 周四,11°,2°,多云~晴,南风2级,149 轻度
2024-01-12 周五,18°,4°,晴,西风1级,84 良
2024-01-13 周六,17°,5°,晴,东南风2级,106 轻度
2024-01-14 周日,21°,3°,多云~小雨,西北风2级,164 中度
2024-01-15 周一,6°,0°,多云~晴,东北风3级,48 优
2024-01-16 周二,10°,6°,多云,东南风3级,41 优
2024-01-17 周三,17°,6°,多云~小雨,东北风1级,70 良
2024-01-18 周四,7°,6°,小雨,北风2级,53 良
2024-01-19 周五,7°,4°,中雨~小雨,东北风3级,29 优
2024-01-20 周六,5°,2°,小雨~阴,西北风4级,50 优
2024-01-21 周日,3°,-1°,雾~阴,西北风3级,75 良
2024-01-22 周一,0°,-5°,阴~多云,西北风4级,39 优
2024-01-23 周二,0°,-4°,晴,西北风4级,36 优
2024-01-24 周三,3°,-3°,晴~多云,西北风3级,48 优
2024-01-25 周四,6°,-2°,阴~晴,西北风2级,68 良
2024-01-26 周五,6°,-1°,阴~多云,西北风1级,81 良
2024-01-27 周六,7°,0°,阴~晴,西北风1级,116 轻度
2024-01-28 周日,10°,0°,晴,北风1级,108 轻度
2024-01-29 周一,8°,6°,多云~小雨,东南风2级,128 轻度
2024-01-30 周二,12°,8°,多云~小雨,东南风1级,89 良
2024-01-31 周三,10°,7°,小雨,东北风1级,42 优
