日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,40°,28°,阴~晴,西南风2级,55 良
2024-09-02 周一,40°,28°,阴~晴,东南风1级,52 良
2024-09-03 周二,36°,27°,阴~晴,北风2级,61 良
2024-09-04 周三,38°,28°,阴~多云,东北风2级,66 良
2024-09-05 周四,39°,28°,阴~晴,东北风2级,47 优
2024-09-06 周五,33°,27°,阴,西北风3级,54 良
2024-09-07 周六,34°,28°,小雨~多云,东北风2级,48 优
2024-09-08 周日,37°,26°,阴~晴,东北风1级,43 优
2024-09-09 周一,38°,26°,阴~多云,东北风1级,46 优
2024-09-10 周二,37°,27°,阴~多云,东北风2级,46 优
2024-09-11 周三,34°,24°,阴~晴,西北风3级,45 优
2024-09-12 周四,26°,24°,阴~多云,西北风3级,35 优
2024-09-13 周五,27°,24°,阴,西北风2级,29 优
2024-09-14 周六,31°,25°,雾~多云,西北风2级,45 优
2024-09-15 周日,31°,26°,阴~小雨,西北风2级,52 良
2024-09-16 周一,31°,24°,阴~多云,西北风3级,51 良
2024-09-17 周二,31°,25°,阴~晴,西北风3级,53 良
2024-09-18 周三,34°,26°,阴~晴,北风2级,55 良
2024-09-19 周四,33°,26°,阴~小雨,西北风3级,43 优
2024-09-20 周五,28°,24°,阴~中雨,西北风3级,55 良
2024-09-21 周六,27°,19°,阴~多云,北风4级,48 优
2024-09-22 周日,24°,18°,晴~多云,北风3级,39 优
2024-09-23 周一,27°,19°,晴,西北风3级,45 优
2024-09-24 周二,30°,19°,晴~多云,西北风2级,62 良
2024-09-25 周三,32°,22°,晴,东南风1级,86 良
2024-09-26 周四,33°,22°,阴~多云,西南风1级,105 轻度
2024-09-27 周五,34°,22°,阴~多云,东南风1级,94 良
2024-09-28 周六,35°,24°,阴~晴,东南风2级,62 良
2024-09-29 周日,37°,24°,多云~晴,东南风2级,48 优
2024-09-30 周一,34°,18°,阴~小雨,北风3级,57 良
