日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,23°,18°,多云~阴,东南风4级,65 良
2024-01-02 周二,22°,17°,阴~多云,东南风4级,55 良
2024-01-03 周三,22°,16°,多云,东北风2级,49 优
2024-01-04 周四,22°,16°,多云,东南风4级,40 优
2024-01-05 周五,24°,18°,多云~阴,东南风3级,46 优
2024-01-06 周六,24°,16°,多云~中雨,东南风3级,47 优
2024-01-07 周日,19°,16°,阴,东南风4级,60 良
2024-01-08 周一,23°,18°,阴~多云,东南风4级,52 良
2024-01-09 周二,23°,18°,阴~多云,东南风3级,51 良
2024-01-10 周三,23°,17°,雾~多云,东南风3级,47 优
2024-01-11 周四,22°,18°,阴~多云,东风4级,45 优
2024-01-12 周五,22°,18°,阴~多云,东南风4级,53 良
2024-01-13 周六,22°,18°,阴~多云,东风4级,58 良
2024-01-14 周日,24°,17°,多云,东风4级,44 优
2024-01-15 周一,24°,18°,多云,东南风4级,34 优
2024-01-16 周二,22°,18°,阴~多云,东风5级,44 优
2024-01-17 周三,23°,18°,阴~多云,东风4级,39 优
2024-01-18 周四,24°,18°,阴~多云,东南风3级,35 优
2024-01-19 周五,25°,18°,雾~多云,东南风3级,36 优
2024-01-20 周六,25°,14°,雾~多云,东南风2级,41 优
2024-01-21 周日,21°,15°,多云,东南风3级,38 优
2024-01-22 周一,15°,8°,阴~小雨,北风4级,34 优
2024-01-23 周二,8°,5°,阵雨~阴,北风3级,20 优
2024-01-24 周三,10°,9°,阴,东北风3级,41 优
2024-01-25 周四,13°,10°,雾~阴,东北风3级,50 优
2024-01-26 周五,14°,10°,阴,东北风3级,59 良
2024-01-27 周六,15°,8°,小雨~阴,东北风3级,30 优
2024-01-28 周日,16°,9°,阵雨~小雨,东北风2级,29 优
2024-01-29 周一,16°,15°,雾~阴,东风4级,57 良
2024-01-30 周二,19°,18°,雾~阴,东南风4级,74 良
2024-01-31 周三,20°,18°,小雨~多云,东南风4级,40 优
