日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,2°,-1°,雾~小雪,东北风4级,31 优
2024-02-02 周五,0°,-2°,中雪~雨夹雪,东北风3级,41 优
2024-02-03 周六,0°,-2°,大雪~中雪,东北风3级,49 优
2024-02-04 周日,0°,-4°,暴雪~小雪,东北风3级,62 良
2024-02-05 周一,-1°,-6°,阴,西北风3级,72 良
2024-02-06 周二,1°,-3°,小雪~多云,东北风2级,82 良
2024-02-07 周三,4°,-4°,阴,东北风2级,106 轻度
2024-02-08 周四,7°,-2°,多云,西北风2级,147 轻度
2024-02-09 周五,10°,-1°,多云~晴,西南风3级,140 轻度
2024-02-10 周六,15°,0°,多云,西风3级,149 轻度
2024-02-11 周日,15°,1°,多云~晴,西南风2级,123 轻度
2024-02-12 周一,18°,4°,雾~多云,南风3级,84 良
2024-02-13 周二,17°,7°,阴~晴,南风3级,72 良
2024-02-14 周三,24°,4°,阴~小雨,南风2级,83 良
2024-02-15 周四,7°,-2°,小雨~多云,东北风4级,52 良
2024-02-16 周五,11°,1°,雾~晴,东南风2级,36 优
2024-02-17 周六,18°,11°,多云~小雨,东南风3级,44 优
2024-02-18 周日,23°,12°,小雨~阴,西南风4级,45 优
2024-02-19 周一,13°,3°,小雨,东北风3级,66 良
2024-02-20 周二,3°,0°,雨夹雪~大雨,东北风4级,29 优
2024-02-21 周三,0°,-4°,中雪~小雪,北风3级,35 优
2024-02-22 周四,-2°,-3°,大雪~小雪,西北风3级,42 优
2024-02-23 周五,0°,-1°,小雪,西北风3级,43 优
2024-02-24 周六,0°,-4°,阴~多云,西北风2级,65 良
2024-02-25 周日,4°,-2°,多云~阴,西北风2级,87 良
2024-02-26 周一,7°,-2°,阴~多云,东北风3级,77 良
2024-02-27 周二,8°,0°,多云~阴,东北风2级,48 优
2024-02-28 周三,5°,3°,阴,东北风2级,67 良
2024-02-29 周四,4°,-1°,中雨~阴,北风3级,37 优
