日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,-2°,-9°,阴~多云,东北风4级,30 优
2024-02-02 周五,0°,-5°,阴~多云,东北风2级,51 良
2024-02-03 周六,0°,-6°,阴~多云,东北风3级,39 优
2024-02-04 周日,0°,-5°,阴~小雪,东北风3级,37 优
2024-02-05 周一,2°,-7°,多云~晴,西北风3级,74 良
2024-02-06 周二,4°,-7°,多云~晴,西风2级,96 良
2024-02-07 周三,5°,-8°,多云,西北风3级,116 轻度
2024-02-08 周四,6°,-6°,多云~晴,西北风2级,121 轻度
2024-02-09 周五,9°,-5°,多云~晴,西南风3级,220 重度
2024-02-10 周六,7°,-5°,多云~晴,西北风2级,178 中度
2024-02-11 周日,13°,-1°,多云~晴,西南风3级,140 轻度
2024-02-12 周一,18°,3°,多云~晴,西南风3级,106 轻度
2024-02-13 周二,21°,5°,晴~多云,西南风2级,83 良
2024-02-14 周三,14°,-4°,小雨~雨夹雪,东北风4级,102 轻度
2024-02-15 周四,8°,-3°,多云~晴,西北风2级,35 优
2024-02-16 周五,13°,2°,晴,西南风4级,57 良
2024-02-17 周六,18°,6°,晴~小雨,南风3级,59 良
2024-02-18 周日,10°,-1°,小雨,东风2级,78 良
2024-02-19 周一,2°,-3°,阴,东北风4级,36 优
2024-02-20 周二,-3°,-6°,阴~大雪,东北风5级,40 优
2024-02-21 周三,-4°,-6°,小雪~阴,东北风5级,28 优
2024-02-22 周四,-2°,-6°,阴~晴,东北风4级,29 优
2024-02-23 周五,0°,-5°,阴~多云,东北风3级,31 优
2024-02-24 周六,1°,-6°,阴~多云,北风2级,61 良
2024-02-25 周日,7°,-5°,多云~晴,西北风2级,102 轻度
2024-02-26 周一,4°,-7°,多云,东北风3级,74 良
2024-02-27 周二,9°,-3°,晴~多云,南风2级,63 良
2024-02-28 周三,9°,-3°,多云~阴,东北风2级,89 良
2024-02-29 周四,3°,-6°,阴~多云,东北风4级,72 良
