日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,31°,22°,小雨,北风4级,48 优
2024-07-02 周二,30°,22°,雾~阴,北风4级,39 优
2024-07-03 周三,35°,24°,雾~暴雨,南风3级,46 优
2024-07-04 周四,31°,25°,多云~小雨,南风2级,33 优
2024-07-05 周五,36°,24°,阴~大雨,西南风4级,24 优
2024-07-06 周六,31°,25°,小雨~中雨,西南风2级,26 优
2024-07-07 周日,34°,25°,阴~中雨,西南风4级,26 优
2024-07-08 周一,29°,23°,小雨~大雨,东北风3级,24 优
2024-07-09 周二,29°,23°,阴,东北风3级,34 优
2024-07-10 周三,30°,21°,阴,北风1级,67 良
2024-07-11 周四,29°,20°,多云~晴,南风3级,49 优
2024-07-12 周五,32°,25°,多云~阴,东南风2级,35 优
2024-07-13 周六,33°,25°,雾~多云,东风3级,40 优
2024-07-14 周日,31°,25°,阴~暴雨,东风3级,53 良
2024-07-15 周一,28°,24°,大雨~暴雨,东南风2级,25 优
2024-07-16 周二,26°,24°,大暴雨~大雨,南风3级,25 优
2024-07-17 周三,29°,24°,中雨~暴雨,西北风1级,25 优
2024-07-18 周四,31°,25°,阴,西南风2级,19 优
2024-07-19 周五,31°,26°,阴~中雨,西南风3级,23 优
2024-07-20 周六,33°,27°,阴~晴,西南风3级,25 优
2024-07-21 周日,36°,29°,阴~多云,西南风3级,30 优
2024-07-22 周一,37°,28°,阴~晴,西南风3级,27 优
2024-07-23 周二,37°,27°,多云~阴,南风3级,35 优
2024-07-24 周三,38°,27°,多云~阴,东南风2级,40 优
2024-07-25 周四,34°,25°,阴~多云,东北风2级,38 优
2024-07-26 周五,33°,27°,阴,东北风4级,43 优
2024-07-27 周六,32°,26°,阴~小雨,东北风4级,25 优
2024-07-28 周日,28°,26°,中雨~多云,东南风2级,17 优
2024-07-29 周一,34°,27°,阴~晴,南风3级,18 优
2024-07-30 周二,36°,27°,阴~多云,南风4级,24 优
2024-07-31 周三,33°,27°,阴~晴,西南风3级,17 优
