日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,36°,26°,阴~多云,东南风1级,36 优
2024-09-02 周一,36°,25°,雾~晴,东风1级,41 优
2024-09-03 周二,36°,25°,多云,东南风2级,46 优
2024-09-04 周三,33°,26°,阴~多云,东北风2级,34 优
2024-09-05 周四,33°,26°,阴~小雨,东风2级,27 优
2024-09-06 周五,35°,25°,小雨,东南风3级,16 优
2024-09-07 周六,31°,25°,阴,东南风2级,17 优
2024-09-08 周日,34°,25°,阴~小雨,东南风2级,24 优
2024-09-09 周一,34°,25°,阴~晴,东南风1级,21 优
2024-09-10 周二,35°,25°,阴~晴,东南风1级,40 优
2024-09-11 周三,36°,26°,多云,东南风1级,46 优
2024-09-12 周四,35°,25°,多云~阴,东南风2级,53 良
2024-09-13 周五,35°,25°,多云,东风2级,31 优
2024-09-14 周六,33°,25°,阴~小雨,西北风1级,30 优
2024-09-15 周日,32°,25°,阴,东北风1级,22 优
2024-09-16 周一,34°,26°,阴,东南风1级,24 优
2024-09-17 周二,36°,25°,阴~晴,东北风1级,22 优
2024-09-18 周三,35°,25°,多云,东北风1级,22 优
2024-09-19 周四,35°,25°,阴~多云,东南风1级,33 优
2024-09-20 周五,31°,26°,阴~多云,东风2级,19 优
2024-09-21 周六,33°,24°,阴~中雨,东南风1级,26 优
2024-09-22 周日,28°,23°,阴~暴雨,西南风1级,12 优
2024-09-23 周一,25°,23°,中雨~大雨,东北风1级,14 优
2024-09-24 周二,29°,24°,暴雨~小雨,东南风1级,18 优
2024-09-25 周三,33°,24°,雾~多云,西北风1级,18 优
2024-09-26 周四,34°,25°,阴,东南风1级,27 优
2024-09-27 周五,32°,25°,多云~小雨,东风1级,25 优
2024-09-28 周六,33°,24°,雾~晴,东南风1级,24 优
2024-09-29 周日,33°,25°,阴~多云,东北风1级,26 优
2024-09-30 周一,35°,26°,阴~多云,东北风2级,16 优
