日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,29°,23°,雾~小雨,北风3级,50 优
2024-07-02 周二,23°,19°,中雨~多云,北风4级,42 优
2024-07-03 周三,32°,24°,雾~小雨,西南风2级,57 良
2024-07-04 周四,23°,22°,暴雨~晴,西北风3级,38 优
2024-07-05 周五,32°,25°,中雨~暴雨,南风3级,37 优
2024-07-06 周六,32°,23°,阴~多云,西北风2级,39 优
2024-07-07 周日,30°,23°,雾~阴,西南风2级,38 优
2024-07-08 周一,31°,23°,阴~小雨,东北风2级,34 优
2024-07-09 周二,27°,20°,雾~晴,东北风3级,55 良
2024-07-10 周三,30°,19°,雾~晴,东北风3级,63 良
2024-07-11 周四,33°,22°,阴~多云,东风1级,75 良
2024-07-12 周五,33°,22°,多云,东南风2级,98 良
2024-07-13 周六,31°,21°,雾~多云,东南风3级,80 良
2024-07-14 周日,31°,23°,雾~多云,东北风2级,44 优
2024-07-15 周一,32°,24°,多云~小雨,东南风2级,35 优
2024-07-16 周二,27°,24°,中雨~小雨,南风3级,25 优
2024-07-17 周三,29°,23°,小雨~多云,南风1级,26 优
2024-07-18 周四,36°,25°,多云~晴,西南风2级,56 良
2024-07-19 周五,35°,25°,阴~暴雨,东南风2级,43 优
2024-07-20 周六,30°,24°,大雨~晴,西北风1级,33 优
2024-07-21 周日,35°,26°,雾~大雨,西南风3级,36 优
2024-07-22 周一,31°,25°,暴雨,南风3级,31 优
2024-07-23 周二,30°,28°,小雨~阴,南风3级,29 优
2024-07-24 周三,36°,27°,雾~小雨,东南风3级,41 优
2024-07-25 周四,33°,26°,雾~小雨,东南风3级,28 优
2024-07-26 周五,33°,26°,多云~中雨,东南风3级,21 优
2024-07-27 周六,28°,26°,小雨~大雨,东南风3级,18 优
2024-07-28 周日,31°,27°,阴,西南风2级,22 优
2024-07-29 周一,36°,27°,阴,西南风2级,31 优
2024-07-30 周二,36°,29°,阴~晴,西南风3级,38 优
2024-07-31 周三,37°,29°,阴~小雨,西南风3级,40 优
