日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,29°,20°,晴,西北风3级,25 优
2024-11-02 周六,30°,20°,多云,东北风2级,26 优
2024-11-03 周日,30°,19°,多云,东南风2级,39 优
2024-11-04 周一,29°,19°,阴~多云,东南风2级,53 良
2024-11-05 周二,30°,18°,阴~多云,东北风1级,47 优
2024-11-06 周三,27°,15°,阴~晴,东风2级,44 优
2024-11-07 周四,27°,15°,晴,东北风2级,35 优
2024-11-08 周五,28°,18°,阴~多云,东北风2级,35 优
2024-11-09 周六,30°,21°,阴~多云,东风2级,37 优
2024-11-10 周日,26°,20°,小雨~阴,东风1级,47 优
2024-11-11 周一,29°,19°,雾~晴,东南风2级,56 良
2024-11-12 周二,31°,22°,阴~多云,东北风2级,37 优
2024-11-13 周三,28°,21°,阴~多云,东北风2级,29 优
2024-11-14 周四,30°,21°,小雨~阵雨,东南风2级,32 优
2024-11-15 周五,32°,22°,雾~多云,北风1级,53 良
2024-11-16 周六,25°,22°,中雨~阵雨,东南风1级,38 优
2024-11-17 周日,30°,20°,阴~多云,东北风2级,28 优
2024-11-18 周一,26°,18°,阴~小雨,东北风3级,24 优
2024-11-19 周二,20°,17°,小雨~阴,东北风2级,16 优
2024-11-20 周三,18°,16°,中雨~阵雨,西北风2级,16 优
2024-11-21 周四,21°,14°,小雨~晴,北风2级,12 优
2024-11-22 周五,23°,15°,阴~晴,东北风2级,20 优
2024-11-23 周六,23°,14°,阴~晴,东北风2级,26 优
2024-11-24 周日,24°,16°,小雨~多云,东风2级,34 优
2024-11-25 周一,25°,15°,阴~阵雨,西北风1级,26 优
2024-11-26 周二,23°,12°,晴,西北风3级,18 优
2024-11-27 周三,22°,10°,晴,西北风3级,24 优
2024-11-28 周四,22°,8°,晴,西北风3级,24 优
2024-11-29 周五,22°,10°,晴,北风2级,35 优
2024-11-30 周六,22°,10°,小雨~晴,东南风1级,43 优
