日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,22°,17°,多云~阴,东北风4级,-
2023-12-02 周六,22°,17°,阴~多云,东北风3级,-
2023-12-03 周日,23°,18°,阴~多云,东北风3级,-
2023-12-04 周一,23°,19°,阴~多云,东北风3级,-
2023-12-05 周二,24°,17°,阴,东北风2级,-
2023-12-06 周三,23°,15°,阴~多云,北风3级,-
2023-12-07 周四,23°,18°,晴~多云,东北风3级,-
2023-12-08 周五,25°,19°,多云,东风3级,-
2023-12-09 周六,24°,21°,多云,东南风3级,-
2023-12-10 周日,27°,22°,雾~多云,东南风3级,-
2023-12-11 周一,27°,21°,雾~多云,东南风2级,-
2023-12-12 周二,26°,20°,晴~多云,东北风3级,-
2023-12-13 周三,24°,21°,阴~多云,东风4级,-
2023-12-14 周四,25°,23°,多云,东风3级,-
2023-12-15 周五,25°,13°,多云~小雨,东南风3级,-
2023-12-16 周六,15°,11°,小雨~阴,北风6级,-
2023-12-17 周日,13°,12°,多云,东北风4级,-
2023-12-18 周一,18°,14°,阴,东北风3级,-
2023-12-19 周二,18°,11°,阴~多云,西北风5级,-
2023-12-20 周三,16°,9°,晴~多云,北风5级,-
2023-12-21 周四,15°,7°,阴~多云,北风5级,-
2023-12-22 周五,12°,7°,阴~多云,东北风4级,-
2023-12-23 周六,13°,8°,阴~多云,北风4级,-
2023-12-24 周日,15°,7°,晴~多云,北风5级,-
2023-12-25 周一,17°,14°,晴~多云,东北风3级,-
2023-12-26 周二,19°,15°,阴~多云,东北风2级,-
2023-12-27 周三,21°,16°,阴,东北风2级,-
2023-12-28 周四,22°,15°,阴~晴,东北风2级,-
2023-12-29 周五,24°,15°,多云,东风3级,-
2023-12-30 周六,24°,17°,阴~多云,东风2级,-
2023-12-31 周日,25°,17°,多云,东北风2级,66 良
