日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,35°,23°,雾~小雨,北风1级,42 优
2024-09-02 周一,28°,19°,小雨~多云,东北风4级,28 优
2024-09-03 周二,30°,22°,晴~多云,东南风2级,39 优
2024-09-04 周三,33°,25°,晴,南风3级,47 优
2024-09-05 周四,30°,20°,阴~晴,东北风4级,42 优
2024-09-06 周五,30°,20°,晴,东北风3级,33 优
2024-09-07 周六,29°,23°,阴,东南风2级,46 优
2024-09-08 周日,32°,24°,雾~晴,东风1级,57 良
2024-09-09 周一,33°,26°,雾~阴,东南风3级,45 优
2024-09-10 周二,23°,21°,阴,北风4级,31 优
2024-09-11 周三,25°,20°,阴,东北风4级,27 优
2024-09-12 周四,26°,20°,阴~小雨,东北风4级,33 优
2024-09-13 周五,26°,20°,小雨~阴,东北风2级,34 优
2024-09-14 周六,24°,18°,雾~阴,东北风4级,43 优
2024-09-15 周日,24°,17°,阴~晴,东北风3级,32 优
2024-09-16 周一,28°,20°,阴~晴,东北风2级,39 优
2024-09-17 周二,30°,21°,阴~大雨,东北风4级,50 优
2024-09-18 周三,28°,21°,阴~小雨,北风3级,47 优
2024-09-19 周四,31°,22°,雾~小雨,东北风2级,59 良
2024-09-20 周五,30°,14°,雾~阴,东北风3级,52 良
2024-09-21 周六,22°,13°,多云~晴,东北风4级,21 优
2024-09-22 周日,22°,11°,晴~多云,东北风3级,28 优
2024-09-23 周一,25°,12°,多云~晴,东北风1级,49 优
2024-09-24 周二,27°,15°,晴,南风3级,69 良
2024-09-25 周三,29°,16°,多云,南风2级,81 良
2024-09-26 周四,27°,17°,多云,东北风2级,145 轻度
2024-09-27 周五,29°,20°,多云~阴,东南风2级,127 轻度
2024-09-28 周六,29°,18°,阴~多云,东南风3级,51 良
2024-09-29 周日,29°,17°,多云~小雨,东南风3级,48 优
2024-09-30 周一,17°,10°,小雨~晴,东北风4级,31 优
