日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,-4°,-5°,阴~多云,北风5级,26 优
2024-02-02 周五,-2°,-3°,多云~阴,西北风4级,24 优
2024-02-03 周六,1°,-3°,阴~晴,北风3级,43 优
2024-02-04 周日,0°,-1°,阴~暴雪,东北风3级,32 优
2024-02-05 周一,0°,-4°,阴~多云,西北风4级,45 优
2024-02-06 周二,0°,-4°,晴,西北风4级,27 优
2024-02-07 周三,0°,-5°,晴,西北风4级,33 优
2024-02-08 周四,2°,-5°,多云~晴,西北风2级,70 良
2024-02-09 周五,7°,-4°,多云~晴,西南风2级,146 轻度
2024-02-10 周六,3°,-5°,多云~晴,北风2级,226 重度
2024-02-11 周日,8°,-2°,多云~晴,西北风3级,111 轻度
2024-02-12 周一,13°,5°,多云~晴,南风4级,104 轻度
2024-02-13 周二,18°,6°,晴,南风3级,75 良
2024-02-14 周三,13°,0°,雾~雨夹雪,北风2级,66 良
2024-02-15 周四,2°,-5°,阴~晴,西北风5级,34 优
2024-02-16 周五,8°,2°,晴,南风4级,36 优
2024-02-17 周六,11°,5°,多云,南风4级,31 优
2024-02-18 周日,11°,1°,小雨,南风3级,27 优
2024-02-19 周一,1°,-2°,阴~多云,北风6级,37 优
2024-02-20 周二,-1°,-4°,阴~大雪,东北风5级,38 优
2024-02-21 周三,-3°,-4°,中雪,东北风5级,35 优
2024-02-22 周四,-1°,-4°,阴~多云,北风4级,38 优
2024-02-23 周五,0°,-3°,多云~小雪,东北风3级,43 优
2024-02-24 周六,1°,-2°,小雪,西北风2级,61 良
2024-02-25 周日,3°,-1°,晴,西北风4级,53 良
2024-02-26 周一,1°,-3°,阴~多云,北风4级,51 良
2024-02-27 周二,2°,-4°,多云~晴,北风1级,75 良
2024-02-28 周三,3°,0°,多云~雨夹雪,东北风2级,87 良
2024-02-29 周四,1°,-4°,阴~多云,北风5级,66 良
