日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,22°,11°,多云~晴,西北风3级,60 良
2024-10-02 周三,20°,11°,晴,西南风2级,43 优
2024-10-03 周四,22°,10°,晴,东南风2级,59 良
2024-10-04 周五,21°,13°,多云,东南风2级,55 良
2024-10-05 周六,19°,15°,阴,东南风2级,66 良
2024-10-06 周日,23°,16°,阴~多云,南风1级,67 良
2024-10-07 周一,20°,14°,多云~晴,东南风2级,102 轻度
2024-10-08 周二,21°,16°,多云,东南风1级,151 中度
2024-10-09 周三,27°,17°,多云,西北风3级,140 轻度
2024-10-10 周四,25°,14°,晴,东南风2级,66 良
2024-10-11 周五,25°,17°,多云~阴,南风1级,83 良
2024-10-12 周六,23°,19°,阴,东南风2级,100 良
2024-10-13 周日,23°,19°,多云~阴,东南风2级,116 轻度
2024-10-14 周一,25°,16°,多云,西南风2级,108 轻度
2024-10-15 周二,25°,16°,多云~晴,东风3级,132 轻度
2024-10-16 周三,20°,19°,多云~阴,东风3级,124 轻度
2024-10-17 周四,20°,16°,小雨~中雨,东北风3级,90 良
2024-10-18 周五,17°,12°,雾~多云,东南风1级,29 优
2024-10-19 周六,14°,6°,阴~多云,东风4级,38 优
2024-10-20 周日,8°,4°,小雨~多云,东南风1级,32 优
2024-10-21 周一,10°,9°,多云~晴,东南风1级,62 良
2024-10-22 周二,20°,9°,晴,西北风4级,52 良
2024-10-23 周三,20°,12°,晴,西南风3级,57 良
2024-10-24 周四,21°,11°,多云~阴,东北风3级,77 良
2024-10-25 周五,19°,11°,多云,东风2级,97 良
2024-10-26 周六,18°,14°,多云~小雨,西南风2级,120 轻度
2024-10-27 周日,20°,12°,多云~晴,东南风2级,139 轻度
2024-10-28 周一,19°,12°,多云~晴,东南风1级,123 轻度
2024-10-29 周二,23°,14°,多云~阴,西南风1级,149 轻度
2024-10-30 周三,18°,15°,多云~阴,东北风2级,169 中度
2024-10-31 周四,16°,12°,小雨~多云,东北风1级,217 重度
