日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,17°,9°,阴~多云,北风1级,20 优
2024-06-02 周日,22°,9°,阴~多云,东北风1级,30 优
2024-06-03 周一,23°,11°,阴~小雨,北风1级,36 优
2024-06-04 周二,18°,10°,多云,东北风3级,34 优
2024-06-05 周三,27°,15°,阴~阵雨,西南风2级,36 优
2024-06-06 周四,25°,16°,阴~多云,西南风3级,37 优
2024-06-07 周五,24°,14°,阴~多云,西南风4级,39 优
2024-06-08 周六,21°,13°,小雨,西南风2级,34 优
2024-06-09 周日,21°,12°,小雨~晴,西北风3级,30 优
2024-06-10 周一,26°,14°,晴~阵雨,西北风2级,31 优
2024-06-11 周二,30°,17°,小雨~雷阵雨,西南风2级,41 优
2024-06-12 周三,21°,12°,小雨~多云,东北风2级,31 优
2024-06-13 周四,21°,15°,小雨~中雨,东南风1级,29 优
2024-06-14 周五,21°,16°,阴~小雨,西南风3级,25 优
2024-06-15 周六,23°,13°,阴~小雨,西风2级,25 优
2024-06-16 周日,20°,14°,小雨~多云,西北风3级,27 优
2024-06-17 周一,23°,12°,多云~晴,西北风3级,28 优
2024-06-18 周二,26°,14°,多云~晴,西南风1级,30 优
2024-06-19 周三,31°,17°,多云,西南风2级,43 优
2024-06-20 周四,28°,16°,小雨~阵雨,北风1级,47 优
2024-06-21 周五,24°,15°,多云~小雨,东北风3级,36 优
2024-06-22 周六,20°,16°,中雨~小雨,东南风1级,25 优
2024-06-23 周日,16°,13°,中雨~小雨,东南风1级,22 优
2024-06-24 周一,19°,12°,阴~小雨,东北风2级,21 优
2024-06-25 周二,23°,12°,小雨~多云,北风2级,25 优
2024-06-26 周三,27°,16°,阴~阵雨,西南风2级,32 优
2024-06-27 周四,28°,18°,多云,西风2级,38 优
2024-06-28 周五,30°,19°,多云~晴,西南风2级,57 良
2024-06-29 周六,30°,18°,阴~多云,西南风3级,50 优
2024-06-30 周日,26°,12°,小雨~多云,东北风2级,48 优
