日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,23°,19°,雾~阴,东南风2级,69 良
2024-02-02 周五,23°,19°,雾~多云,南风2级,65 良
2024-02-03 周六,24°,14°,雾~中雨,东南风3级,57 良
2024-02-04 周日,22°,12°,阴~小雨,西南风1级,49 优
2024-02-05 周一,11°,9°,雾~小雨,东北风2级,32 优
2024-02-06 周二,10°,9°,雾~小雨,北风2级,23 优
2024-02-07 周三,7°,6°,小雨,北风3级,19 优
2024-02-08 周四,8°,6°,小雨,北风3级,22 优
2024-02-09 周五,11°,7°,阴~多云,北风2级,49 优
2024-02-10 周六,18°,9°,多云,北风2级,149 轻度
2024-02-11 周日,23°,9°,雾~晴,东北风1级,142 轻度
2024-02-12 周一,23°,13°,雾~晴,东南风2级,122 轻度
2024-02-13 周二,23°,18°,阴~多云,东南风3级,64 良
2024-02-14 周三,24°,17°,雾~阴,东南风3级,53 良
2024-02-15 周四,26°,13°,雾~多云,西风1级,55 良
2024-02-16 周五,23°,15°,多云,北风1级,37 优
2024-02-17 周六,23°,20°,雾~多云,南风4级,57 良
2024-02-18 周日,24°,21°,阴~多云,南风4级,39 优
2024-02-19 周一,26°,21°,阴~多云,东南风3级,47 优
2024-02-20 周二,27°,24°,阴~多云,东南风4级,48 优
2024-02-21 周三,28°,18°,阴~小雨,南风4级,50 优
2024-02-22 周四,23°,11°,雾~小雨,东风1级,42 优
2024-02-23 周五,9°,6°,小雨,东北风3级,22 优
2024-02-24 周六,7°,6°,多云~小雨,北风3级,18 优
2024-02-25 周日,7°,6°,小雨,北风2级,19 优
2024-02-26 周一,8°,7°,小雨,北风2级,18 优
2024-02-27 周二,8°,6°,小雨,北风2级,14 优
2024-02-28 周三,10°,7°,小雨,北风2级,18 优
2024-02-29 周四,10°,8°,小雨,西北风3级,14 优
