日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,29°,26°,阴~多云,南风4级,45 优
2024-04-02 周二,29°,25°,阴~多云,南风4级,47 优
2024-04-03 周三,28°,25°,阴~阵雨,南风4级,42 优
2024-04-04 周四,29°,24°,阴~阵雨,南风4级,23 优
2024-04-05 周五,27°,23°,阴~阵雨,东南风4级,32 优
2024-04-06 周六,25°,24°,小雨~阵雨,东南风4级,38 优
2024-04-07 周日,27°,24°,阴~多云,南风3级,26 优
2024-04-08 周一,26°,21°,小雨~阴,西南风3级,38 优
2024-04-09 周二,25°,21°,阴~多云,东北风2级,22 优
2024-04-10 周三,27°,22°,阴~多云,东南风4级,36 优
2024-04-11 周四,27°,22°,阴~多云,东南风3级,41 优
2024-04-12 周五,29°,24°,多云,东南风3级,37 优
2024-04-13 周六,30°,24°,多云,南风3级,36 优
2024-04-14 周日,29°,25°,多云,南风3级,21 优
2024-04-15 周一,30°,24°,阴~多云,西南风3级,30 优
2024-04-16 周二,33°,25°,多云~阵雨,西南风4级,31 优
2024-04-17 周三,32°,25°,多云~阵雨,西南风4级,28 优
2024-04-18 周四,30°,24°,中雨~阴,西南风3级,25 优
2024-04-19 周五,30°,25°,阵雨~多云,南风5级,26 优
2024-04-20 周六,30°,27°,小雨~阵雨,南风5级,26 优
2024-04-21 周日,26°,22°,暴雨~中雨,南风3级,23 优
2024-04-22 周一,25°,23°,中雨,西南风2级,23 优
2024-04-23 周二,26°,23°,大雨~阵雨,西南风3级,47 优
2024-04-24 周三,27°,25°,小雨~中雨,东南风1级,33 优
2024-04-25 周四,29°,24°,小雨~大雨,西南风4级,21 优
2024-04-26 周五,29°,26°,中雨~多云,西南风4级,22 优
2024-04-27 周六,31°,25°,阴~阵雨,南风3级,31 优
2024-04-28 周日,27°,25°,小雨~多云,南风4级,23 优
2024-04-29 周一,29°,25°,小雨~阵雨,南风4级,22 优
2024-04-30 周二,30°,24°,多云~中雨,西南风4级,22 优
