日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,-5°,-14°,晴,西南风2级,-
2023-12-02 周六,-3°,-14°,阴~晴,西北风2级,-
2023-12-03 周日,-1°,-10°,多云~晴,西南风4级,-
2023-12-04 周一,3°,-10°,晴,西风2级,-
2023-12-05 周二,3°,-8°,阴~多云,西南风4级,-
2023-12-06 周三,-4°,-13°,晴,西风4级,-
2023-12-07 周四,-3°,-10°,阴~晴,西南风2级,-
2023-12-08 周五,-1°,-15°,阴~晴,西北风3级,-
2023-12-09 周六,-9°,-20°,阴~晴,西北风4级,-
2023-12-10 周日,-10°,-22°,晴,西北风2级,-
2023-12-11 周一,-13°,-24°,晴~多云,东北风2级,-
2023-12-12 周二,-13°,-25°,阴~晴,西南风2级,-
2023-12-13 周三,-12°,-25°,多云,北风1级,-
2023-12-14 周四,-12°,-20°,多云~小雪,东北风3级,-
2023-12-15 周五,-14°,-23°,阴~多云,东北风3级,-
2023-12-16 周六,-13°,-25°,晴,西北风3级,-
2023-12-17 周日,-14°,-25°,多云~晴,西风2级,-
2023-12-18 周一,-15°,-26°,多云~晴,西南风1级,-
2023-12-19 周二,-16°,-30°,阴~晴,北风2级,-
2023-12-20 周三,-16°,-25°,晴,西北风2级,-
2023-12-21 周四,-15°,-26°,阴~晴,西北风2级,-
2023-12-22 周五,-5°,-21°,晴,西风3级,-
2023-12-23 周六,-6°,-18°,晴,西南风2级,-
2023-12-24 周日,-8°,-19°,阴~晴,西北风2级,-
2023-12-25 周一,-5°,-19°,阴~晴,西南风3级,-
2023-12-26 周二,-6°,-21°,多云~晴,西南风2级,-
2023-12-27 周三,-3°,-15°,阴~晴,西南风3级,-
2023-12-28 周四,-4°,-14°,晴~多云,西北风1级,-
2023-12-29 周五,-2°,-14°,多云~小雪,北风2级,-
2023-12-30 周六,-11°,-17°,中雪~多云,东北风4级,-
2023-12-31 周日,-12°,-17°,多云,东北风2级,31 优
