日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,16°,9°,中雨~小雨,西北风2级,28 优
2024-06-02 周日,19°,7°,阴~晴,西北风1级,25 优
2024-06-03 周一,25°,11°,晴,西北风1级,31 优
2024-06-04 周二,27°,12°,多云~晴,西北风2级,42 优
2024-06-05 周三,27°,11°,阴~多云,西南风2级,43 优
2024-06-06 周四,26°,11°,阴~多云,西南风3级,38 优
2024-06-07 周五,21°,14°,阴,西南风2级,37 优
2024-06-08 周六,21°,14°,小雨,西南风2级,36 优
2024-06-09 周日,23°,10°,阴~晴,西风3级,34 优
2024-06-10 周一,27°,14°,多云,西南风2级,37 优
2024-06-11 周二,29°,16°,阴~小雨,西南风3级,44 优
2024-06-12 周三,25°,15°,大雨~多云,西南风1级,36 优
2024-06-13 周四,27°,17°,雾~小雨,西南风3级,34 优
2024-06-14 周五,19°,16°,大雨~小雨,西南风2级,36 优
2024-06-15 周六,22°,11°,小雨~多云,西北风3级,27 优
2024-06-16 周日,24°,15°,多云,西北风3级,40 优
2024-06-17 周一,28°,12°,多云~晴,西风3级,49 优
2024-06-18 周二,29°,15°,阴~小雨,西南风2级,48 优
2024-06-19 周三,30°,16°,晴,西南风3级,50 优
2024-06-20 周四,30°,16°,阴~多云,西南风2级,47 优
2024-06-21 周五,31°,19°,多云,西南风2级,50 优
2024-06-22 周六,28°,15°,小雨~中雨,西南风2级,40 优
2024-06-23 周日,22°,15°,小雨,西北风2级,35 优
2024-06-24 周一,19°,14°,中雨~小雨,西南风2级,35 优
2024-06-25 周二,22°,14°,多云,西北风2级,32 优
2024-06-26 周三,27°,15°,多云~晴,西南风2级,38 优
2024-06-27 周四,28°,16°,多云~晴,西南风2级,45 优
2024-06-28 周五,30°,15°,多云,西南风2级,47 优
2024-06-29 周六,29°,18°,多云~小雨,西南风2级,45 优
2024-06-30 周日,29°,17°,阴~小雨,西北风2级,41 优
