日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,3°,-4°,阴~小雪,东北风2级,90 良
2024-02-02 周五,-2°,-5°,小雪,东北风3级,85 良
2024-02-03 周六,0°,-10°,小雪~阴,东北风2级,63 良
2024-02-04 周日,1°,-11°,晴,西南风1级,86 良
2024-02-05 周一,0°,-10°,晴~阴,东北风2级,80 良
2024-02-06 周二,0°,-8°,阴,东北风2级,54 良
2024-02-07 周三,0°,-10°,阴~晴,东北风2级,66 良
2024-02-08 周四,3°,-10°,晴,西南风1级,85 良
2024-02-09 周五,7°,-8°,晴,西南风2级,95 良
2024-02-10 周六,7°,-7°,晴,西南风1级,203 重度
2024-02-11 周日,9°,-7°,晴,西南风2级,65 良
2024-02-12 周一,11°,-7°,阴~晴,西南风2级,62 良
2024-02-13 周二,11°,-3°,多云~阴,东北风2级,71 良
2024-02-14 周三,4°,-7°,阴~晴,东北风2级,37 优
2024-02-15 周四,9°,-7°,晴,西南风2级,50 优
2024-02-16 周五,12°,-6°,晴,西南风2级,64 良
2024-02-17 周六,13°,-8°,多云~浮尘,南风1级,121 轻度
2024-02-18 周日,-4°,-12°,阴~多云,东北风5级,245 重度
2024-02-19 周一,0°,-6°,阴,东北风1级,127 轻度
2024-02-20 周二,-3°,-7°,阴~小雪,东北风5级,305 严重
2024-02-21 周三,-3°,-11°,阴,东北风3级,155 中度
2024-02-22 周四,-3°,-11°,阴,东北风3级,86 良
2024-02-23 周五,-4°,-10°,中雪~多云,东北风1级,101 轻度
2024-02-24 周六,0°,-10°,多云,东南风1级,158 中度
2024-02-25 周日,0°,-7°,小雪,东北风2级,125 轻度
2024-02-26 周一,-1°,-7°,小雪~多云,东北风3级,98 良
2024-02-27 周二,1°,-5°,阴,东北风3级,97 良
2024-02-28 周三,-1°,-6°,小雪,东北风4级,79 良
2024-02-29 周四,-3°,-10°,中雪~阴,东北风3级,50 优
