日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,34°,25°,雾~暴雨,东南风1级,46 优
2024-07-02 周二,30°,25°,雾~大雨,西北风1级,25 优
2024-07-03 周三,30°,26°,中雨~阵雨,东南风2级,20 优
2024-07-04 周四,33°,26°,雾~多云,东南风2级,31 优
2024-07-05 周五,34°,26°,阴~多云,东南风2级,28 优
2024-07-06 周六,34°,26°,阴~多云,东南风2级,34 优
2024-07-07 周日,34°,27°,阴~多云,东南风2级,30 优
2024-07-08 周一,35°,27°,阴~多云,东南风2级,30 优
2024-07-09 周二,34°,27°,阴~阵雨,东南风2级,38 优
2024-07-10 周三,35°,27°,阴~多云,东南风2级,36 优
2024-07-11 周四,35°,26°,阴~阵雨,东南风2级,32 优
2024-07-12 周五,34°,27°,阴~多云,东南风2级,34 优
2024-07-13 周六,34°,28°,小雨~多云,东南风2级,35 优
2024-07-14 周日,33°,27°,阴~多云,东南风2级,28 优
2024-07-15 周一,34°,27°,雾~多云,东南风2级,37 优
2024-07-16 周二,34°,26°,阴~多云,东南风2级,32 优
2024-07-17 周三,33°,26°,阴~阵雨,东南风2级,34 优
2024-07-18 周四,31°,26°,阴~阵雨,东南风2级,31 优
2024-07-19 周五,31°,26°,小雨~多云,东南风2级,21 优
2024-07-20 周六,33°,26°,多云,东南风2级,28 优
2024-07-21 周日,35°,26°,雾~多云,东南风2级,36 优
2024-07-22 周一,35°,26°,阴~多云,东南风1级,36 优
2024-07-23 周二,33°,27°,阴~阵雨,东风2级,38 优
2024-07-24 周三,31°,26°,大雨~多云,东南风1级,20 优
2024-07-25 周四,37°,26°,多云,西北风1级,20 优
2024-07-26 周五,38°,28°,阴~多云,西北风1级,22 优
2024-07-27 周六,34°,26°,阴~大雨,东风1级,42 优
2024-07-28 周日,30°,26°,阴~中雨,东南风1级,31 优
2024-07-29 周一,28°,26°,小雨~大雨,东风1级,29 优
2024-07-30 周二,32°,25°,小雨~中雨,东风1级,23 优
2024-07-31 周三,31°,25°,大雨~中雨,东南风1级,17 优
