日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,21°,15°,阴~多云,北风4级,35 优
2024-10-02 周三,24°,17°,多云,北风3级,57 良
2024-10-03 周四,22°,15°,阴~晴,北风3级,71 良
2024-10-04 周五,25°,16°,多云~阴,西北风2级,84 良
2024-10-05 周六,26°,17°,多云,西北风2级,85 良
2024-10-06 周日,25°,18°,多云,西北风3级,99 良
2024-10-07 周一,19°,18°,阴~多云,北风3级,81 良
2024-10-08 周二,21°,17°,阴~晴,东北风2级,57 良
2024-10-09 周三,27°,19°,晴,北风2级,62 良
2024-10-10 周四,28°,18°,晴~多云,东北风2级,86 良
2024-10-11 周五,29°,20°,多云~阴,东北风1级,120 轻度
2024-10-12 周六,25°,19°,多云,西北风2级,207 重度
2024-10-13 周日,22°,17°,多云~小雨,西北风3级,112 轻度
2024-10-14 周一,21°,16°,小雨,西北风1级,70 良
2024-10-15 周二,22°,19°,小雨,东风1级,64 良
2024-10-16 周三,21°,20°,雾~小雨,北风1级,124 轻度
2024-10-17 周四,22°,19°,大雨~中雨,东南风2级,101 轻度
2024-10-18 周五,27°,18°,雾~晴,北风2级,41 优
2024-10-19 周六,18°,16°,中雨~阴,北风4级,36 优
2024-10-20 周日,14°,13°,雾~阴,西北风3级,54 良
2024-10-21 周一,13°,12°,阴~小雨,东北风1级,33 优
2024-10-22 周二,16°,11°,小雨~晴,北风3级,35 优
2024-10-23 周三,21°,11°,阴~晴,北风2级,41 优
2024-10-24 周四,22°,13°,晴,北风2级,54 良
2024-10-25 周五,22°,15°,晴,北风3级,82 良
2024-10-26 周六,19°,15°,阴~小雨,西北风3级,68 良
2024-10-27 周日,21°,15°,阴,西北风3级,85 良
2024-10-28 周一,21°,15°,雾~多云,北风2级,125 轻度
2024-10-29 周二,22°,14°,多云~晴,东北风1级,135 轻度
2024-10-30 周三,23°,13°,雾~晴,西北风2级,110 轻度
2024-10-31 周四,23°,15°,晴,北风3级,87 良
