日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,35°,25°,多云~阴,南风2级,53 良
2024-09-02 周一,27°,23°,小雨~晴,东北风4级,40 优
2024-09-03 周二,30°,21°,阴~晴,东北风3级,31 优
2024-09-04 周三,31°,25°,多云~晴,东南风2级,30 优
2024-09-05 周四,33°,26°,阴~多云,东南风2级,40 优
2024-09-06 周五,29°,26°,阴,东北风3级,38 优
2024-09-07 周六,31°,25°,小雨~多云,东北风3级,30 优
2024-09-08 周日,31°,24°,多云~晴,东风3级,28 优
2024-09-09 周一,33°,24°,多云~晴,东风3级,27 优
2024-09-10 周二,33°,25°,阴~中雨,东北风3级,25 优
2024-09-11 周三,27°,26°,大暴雨~中雨,东北风4级,18 优
2024-09-12 周四,32°,26°,小雨~多云,东南风3级,38 优
2024-09-13 周五,33°,25°,多云~晴,东南风2级,28 优
2024-09-14 周六,31°,26°,阴~多云,东北风1级,30 优
2024-09-15 周日,28°,26°,雾~阴,东北风4级,31 优
2024-09-16 周一,29°,27°,阴~多云,东北风5级,26 优
2024-09-17 周二,31°,26°,阴~多云,东南风4级,20 优
2024-09-18 周三,33°,26°,阴~晴,东南风3级,19 优
2024-09-19 周四,32°,26°,阴~小雨,东北风4级,20 优
2024-09-20 周五,30°,22°,阴,东北风3级,16 优
2024-09-21 周六,25°,19°,阴~多云,北风5级,25 优
2024-09-22 周日,23°,17°,晴~多云,北风4级,30 优
2024-09-23 周一,24°,16°,阴~多云,东北风3级,33 优
2024-09-24 周二,24°,19°,阴,北风2级,30 优
2024-09-25 周三,28°,19°,阴~多云,东北风2级,35 优
2024-09-26 周四,27°,20°,阴,东北风3级,32 优
2024-09-27 周五,28°,19°,阴~多云,东北风3级,41 优
2024-09-28 周六,28°,18°,多云,东风3级,33 优
2024-09-29 周日,30°,21°,多云~阴,东南风3级,36 优
2024-09-30 周一,29°,18°,阴~大雨,东南风3级,36 优
