日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,29°,16°,阴~晴,北风3级,27 优
2024-09-02 周一,26°,15°,晴,东北风3级,22 优
2024-09-03 周二,27°,22°,阴~多云,西南风1级,37 优
2024-09-04 周三,25°,20°,阴~阵雨,西南风4级,36 优
2024-09-05 周四,27°,15°,多云~晴,北风3级,29 优
2024-09-06 周五,28°,19°,阴~多云,北风1级,30 优
2024-09-07 周六,24°,18°,阴~晴,西北风1级,35 优
2024-09-08 周日,26°,22°,阴~多云,西南风2级,57 良
2024-09-09 周一,27°,19°,阴~中雨,西南风4级,37 优
2024-09-10 周二,21°,17°,阴~多云,东北风2级,24 优
2024-09-11 周三,24°,16°,阴~晴,东北风3级,24 优
2024-09-12 周四,27°,18°,晴,东北风3级,32 优
2024-09-13 周五,24°,13°,阴~多云,东北风5级,37 优
2024-09-14 周六,19°,11°,阴~多云,东北风4级,18 优
2024-09-15 周日,23°,15°,多云,东北风3级,24 优
2024-09-16 周一,26°,18°,阴~多云,西南风2级,42 优
2024-09-17 周二,24°,18°,阴,东北风3级,41 优
2024-09-18 周三,24°,18°,阴~多云,东北风3级,28 优
2024-09-19 周四,26°,13°,阴~阵雨,西南风2级,50 优
2024-09-20 周五,15°,11°,阴~多云,东北风5级,19 优
2024-09-21 周六,18°,9°,晴,东北风4级,19 优
2024-09-22 周日,20°,10°,晴,东北风3级,27 优
2024-09-23 周一,21°,15°,晴,西南风2级,40 优
2024-09-24 周二,22°,17°,多云,西南风4级,40 优
2024-09-25 周三,21°,11°,阴~晴,东北风3级,31 优
2024-09-26 周四,23°,11°,晴,东北风3级,42 优
2024-09-27 周五,24°,14°,晴,东北风2级,45 优
2024-09-28 周六,24°,17°,阴~晴,西南风2级,62 良
2024-09-29 周日,25°,11°,阴~中雨,西南风4级,45 优
2024-09-30 周一,11°,7°,中雨~多云,东北风4级,16 优
