日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,24°,14°,小雨~阴,西南风1级,36 优
2024-11-02 周六,23°,16°,阴~多云,东南风2级,39 优
2024-11-03 周日,18°,16°,雾~阴,北风1级,47 优
2024-11-04 周一,21°,14°,小雨~阴,西风2级,32 优
2024-11-05 周二,22°,15°,阴~小雨,东南风1级,35 优
2024-11-06 周三,18°,15°,阴,东风2级,56 良
2024-11-07 周四,19°,15°,多云~阴,东南风1级,56 良
2024-11-08 周五,19°,15°,雾~多云,东南风1级,56 良
2024-11-09 周六,20°,15°,小雨,东风2级,52 良
2024-11-10 周日,16°,14°,雾~小雨,北风1级,35 优
2024-11-11 周一,17°,15°,阴~小雨,西北风1级,44 优
2024-11-12 周二,18°,15°,雾~阴,北风1级,40 优
2024-11-13 周三,19°,15°,小雨~多云,北风1级,31 优
2024-11-14 周四,18°,16°,雾~阴,东南风1级,42 优
2024-11-15 周五,19°,17°,雾~小雨,东北风2级,64 良
2024-11-16 周六,18°,12°,阴,东北风2级,44 优
2024-11-17 周日,14°,11°,阴,东南风2级,29 优
2024-11-18 周一,13°,10°,阴,东北风1级,19 优
2024-11-19 周二,12°,10°,阴,东北风1级,22 优
2024-11-20 周三,16°,10°,雾~阴,东南风2级,30 优
2024-11-21 周四,18°,9°,多云,东风1级,46 优
2024-11-22 周五,16°,11°,雾~阴,东南风2级,45 优
2024-11-23 周六,14°,11°,阴~小雨,东风1级,59 良
2024-11-24 周日,12°,8°,小雨,东北风2级,50 优
2024-11-25 周一,12°,7°,多云~阴,西风1级,26 优
2024-11-26 周二,9°,8°,多云~小雨,东风2级,30 优
2024-11-27 周三,14°,8°,小雨~阴,南风2级,42 优
2024-11-28 周四,14°,7°,雾~阴,西南风1级,52 良
2024-11-29 周五,15°,6°,多云~晴,东南风1级,58 良
2024-11-30 周六,17°,7°,雾~晴,东南风2级,69 良
